job_name,job_stars,job_category,job_description,company_name,company_type,company_size,company_industry,company_introduction,min_salary,max_salary,mid_salary,place,exp_years,education
展览策划经理,"社保,工作餐","活动策划,影视策划/制作人员","1. 负责公司各项活动的组织策划、选择场地、创意方案及落地执行方案的撰写、流程制定、活动现场分工及执行、活动总结；,2. 负责文创招商的执行、推广、客户洽谈和签约工作，负责客户商务谈判，拓展工作; ,3. 根据活动的规模和特点，及时做好场地、人员及物料的统筹、安排、组织与实施，控制活动成本以及处理各种突发事件；,4. 跟踪分析活动实施效果，提出合理化调整建议，并编制活动报告；,5. 根据公司业务发展需求，收集相关市场活动信息和相关数据；,6. 协调各项资源、跟进项目进度，能够基于数据提出问题和解决方案，并优化产品的研发和运营质量 ；,岗位要求：,1、 年龄：28~38岁，本科及以上学历，会展、新闻学、广告学、中文类等相关专业,英语能力佳者优先；,2、熟悉广告创作流程，逻辑思维清晰，有敏锐的创作嗅觉和精准的创意表现力，洞察力强，具备独立思考和分析能力，对问题有自己独特的见解；语言表达能力强；,3、 3年以上展会会务策划、现场执行及文案工作经验，拥有较强的文字功底，能独立完成项目策划文案的撰写与执行；有整合推广成功案例者优先；有文创项目经验优先。,4、 熟练使用PPT、Photoshop、AI等办公软件；并有实际应用经验两年以上。",成都星演文化传播有限公司,民营公司,150-500人,"影视/媒体/艺术/文化传播,多元化业务集团公司","公司简介：成都星演文化传播有限公司为北京天艺同歌国际文化艺术有限公司全资子公司，公司经营品牌—繁星戏剧村。繁星戏剧村是集戏剧创作、剧场运营、驻场演出、版权交易、展览交易、艺术衍生品设计开发、主题餐饮、文艺书店为一体的跨界文化体验型艺术园区。2017年，繁星戏剧村入驻成都东郊记忆音乐公园，走出繁星戏剧村全国连锁品牌战略的***步。目前，公司旗下的四个剧场一个音乐空间将在年底前盛大开业，给成都一个礼物，欢迎你的加入。公司网址：www.fanxingchina.com百度地图：请搜“成都东郊记忆星live""。",8000,10000,9000.0,成都-成华区,3-4年经验,本科
展览策划,"五险一金,餐饮补贴,股票期权",展览/展示/店面设计,"职位描述：,1、负责公司展陈项目的方案策划，理解客户需求，精准表述展览主题思想和布展内容；,2、完成布展方案大纲的初步、完善及后续修改等工作；,3、与展陈空间创意进行沟通，运用文字充分表达空间创意理念。,4、 对展馆概念的策划，拟定富有创意和内涵的展览主题；,5、 对各展厅（区）内容作出描述或阐释，使设计部门明白展示点分布和展示线索，以便作出合理的设计。,应聘要求：,1、会展策划、广告策划、艺术设计、多媒体展示等相关专业，大学以上学历，二年以上相关工作经验；；,2、突出的文字功底，熟练运用惟妙惟肖的语言完美的表达策划理念和布展内容，能独立组织和完成策划方案的撰写，将布展策划文案完美地展现给客户；,3、思维敏捷，具有创新思维。,4、具有深厚的文字功底及团队协作精神，有独到的创新意识；,5、能独立编撰展览馆策划方案，善于沟通，精于提案；,6、能承受压力，能适应出差。,面试时请携带个人近期策划作品。",上海创幸文化创意展示有限公司,民营公司,50-150人,"公关/市场推广/会展,影视/媒体/艺术/文化传播","上海创幸专注展示创意行业11年，是中国高科技展馆领域的先行者，自2008年成立以来，与中国展览行业共同成长、共同发展，是行业中屈指可数的打造高科技互动展示馆的专业公司。创幸专业从事“新媒体”展示场馆的策划、设计、工程、管理及各类展项展品的设计制作。经过专业的项目实践，公司汇聚了高科技展示馆所需的创意策划、展示设计、项目管理及工程实施等方面的专业人才，培育了完整的科技类、展览展示类专业可提供包括布展空间设计、媒体设计与制作、系统集成设计人才供应团队,与制作、 展示技术研发、工程实施及管理等在内的专业服务。创幸团队运用跨界智造、创所未见的先进理念， 创造高科技的展示方式与独特的专属视觉体验，打造中国高科技交互式展览馆新标杆！公司资质：国家展览展示工程企业壹级资质；国家展览展示设计企业资质甲级；中国多媒体系统集成资质壹级；建筑装饰专项工程设计乙级；建筑装修装饰工程专业承包二级。",8000,15000,11500.0,上海,1年经验,大专
展览策划/活动策划,"五险一金,员工旅游,绩效奖金","文案/策划,活动策划","岗位职责：,1、具有大型品牌特装展台策划竞标能力、思维缜密、创意润饰、 脑洞够大；,2、能撰写具有强大说服力的策划方案，前期提案讲标；,3、热爱展览行业，把创意策划+设计加工当成乐趣，具有激情和创造力，善于沟通；,4、较强的团队领导能力及合作精神；,5、协调多方合作伙伴为客户提供专业优质服务；,6、正规院校相关专业毕业，2年以上相关工作经验。,任职要求：,1、本科及以上学历，中文、会展策划与管理、广告、等专业优先；,2、有展览搭建公司、线下活动广告公司、多媒体公司工作经验者优先；,3、活跃的文案、创意经验，擅长文字广告创意, 热爱生活；,4、具有成功服务品牌和参与策划大型项目的经验；,5、能迅速捕捉客户企业的文化内涵、企业精神进行文案创作；,6、较强的沟通能力和提案技巧，熟悉各种广告形式的文字表现能独立撰写策划方案等文件具有良好的文字功底和文学素养。",上海灵硕展览集团有限公司,民营公司,150-500人,"公关/市场推广/会展,家居/室内设计/装潢",★ 我们的公司灵硕展览集团（LISO GROUP）是一家全球领先的展览全产业链服务的品牌营销企业。上海灵硕展览成立于1998年，于2008年，成立灵硕集团，经过前后20余年的发展，现旗下拥有上海灵硕会展服务有限公司、上海奥硕会展有限公司、上海傲展会展服务有限公司、上海灵硕体育文化发展有限公司4家全资子公司。展览产业链业务涵盖展会主办、会议活动、展览展示、展厅展馆四大业务板块。集团总部坐落于上海。并在上海设有黄浦、松江两大事业中心及虹桥设计中心。三大中心，联合运营，旨在为客户提供***、最迅速、最优质的服务，实现合作共赢，共同推进展览行业的全方位高速发展。★ 我们的品牌灵硕展览集团官网：http://www.lisoexpo.comISUE国际校服.园服展览会：http://www.csisue.com/OUE职业装.团服展览会：http://www.globaloue.com/TCE服装定制展览会：http://www.tceexpo.com/AME亚洲服装智能制造博览会：http://www.cclexpo.com/CCLE中国教育后勤展览会：http://www.cclexpo.com/★ 我们的荣誉国家商务部***批展览业重点联系企业中国国际进口博览会指定搭建供应商全国工商联合会纺织服装业商会副会长单位全国工商联重点支持会展企业上海会展十佳优秀企业IQA上海设计师联盟创意基地中国会展业设计企业推荐30强上海市工程建设零投诉标杆企业20年展厅策划设计施工知名企业中国美术学院产学研实习基地中国展览馆协会一级资质单位国家建筑装饰行业设计乙级资质国家建筑装修装饰工程专业承包二级ISO9001，ISO14001，OHSAS18001管理体系★ 我们的福利   ◇ 工作满1年，就有机会参与公司的分红及股权激励；   ◇ 社会保险、住房公积金；   ◇ 公司协助办理居住证积分、户口；   ◇ 每年1次免费体检机会；   ◇ 每年1-2次旅游机会；   ◇ 每年5-15天带薪年假；   ◇ 丰富的团队活动、完善的培训体系；   ◇ 其他节假日福利、生日party等。★ 应聘方式请将个人简历、应聘职位发送到：ivy@lisoexpo.com，我们会认真对待每一封简历。灵硕展览集团期待您的加入！,10000,15000,12500.0,上海,2年经验,本科
展览策划/活动策划,"做五休二,五险一金,绩效奖金,弹性工作","活动策划,文案/策划","岗位职责：,1、具有大型品牌特装展台/活动策划竞标能力、思维缜密、创意润饰、 脑洞够大；,2、能撰写具有强大说服力的策划方案，前期提案讲标；,3、热爱展览/广告行业，把创意策划+设计加工当成乐趣，具有激情和创造力，善于沟通；,4、较强的团队领导能力及合作精神；,5、协调多方合作伙伴为客户提供专业优质服务；,6、正规院校相关专业毕业，2年以上相关工作经验。,任职要求：,1、大专及以上学历，中文、会展策划与管理、广告、等专业优先；,2、有展览搭建公司、线下活动广告公司、多媒体公司工作经验者优先；,3、活跃的文案、创意经验，擅长文字广告创意, 热爱生活；,4、具有成功服务品牌和参与策划大型项目/活动的经验；,5、能迅速捕捉客户企业的文化内涵、企业精神进行文案创作；,6、较强的沟通能力和提案技巧，熟悉各种广告形式的文字表现能独立撰写策划方案等文件具有良好的文字功底和文学素养。",上海理通广告有限公司,民营公司,少于50人,"广告,公关/市场推广/会展",上海理通广告有限公司成立于2002年，拥有18年品牌创意营销及专业性展览展示服务经验。主要致力于展厅展台空间设计搭建、活动策划执行和新媒体整合营销三大业务板块，为客户提供服务一体化综合展示解决方案。公司现有员工30余人，注册资金500万元。我们从市场的角度和客户的需求出发，帮助品牌及其产品树立良好口碑，拓展市场空间创造竞争优势，提升品牌的无形资产。我们的执行高效与质量共存，为品牌带来全新广告体验！,10000,15000,12500.0,上海-静安区,2年经验,大专
展示展览策划,"五险一金,补充商业保险,双休,法定节假日,带薪年休假,5天带薪事假,餐饮补贴,年终奖金,员工旅游,专业培训","文案/策划,编辑","职位描述：,1、负责项目需求调研，参与项目方案研讨，拟定方案主题、展示思路及展示内容，提交展示创意文案；,2、根据方案制作需求，配合设计组人员提交相关展示创意文案；,3、负责撰写多媒体内容策划及编写展项具体脚本及展项手段；,4、积极融入设计项目，提供设计形式效果、展项方案；,5、配合效果图及平面后期人员提交方案所需文案。,任职要求：,1、数字传媒、广告学或文学等相关专业，本科及以上学历；,2、,3、3年以上策划与文案撰写项目经历者优先；,4、熟练使用office、PPT排版，会Photoshop绘图软件尤佳；,                                                ,5、具有积极正面的价值观，强烈的责任心和主动性，勤勉耐压。",武汉数文科技有限公司,民营公司,150-500人,"计算机软件,互联网/电子商务",武汉数文科技有限公司是领先的公共数字文化服务整体解决方案提供商和数据运营商，致力于在有创造力的创意设计和严谨的科学研究基础上，通过创新的数字信息技术推动文化生产、传播和消费领域的发展与变革，助力公共数字文化服务体系建设，探索文化大数据运营和数字文化消费产品创新，传承和弘扬中华优秀传统文化。      集合国内优势学科资源，公司现有各类创意、设计、研发、管理人才200多人，横跨历史、档案、图书情报、计算机、测绘地理信息、环境、建筑与规划、美术、艺术设计、教育、旅游等多个专业领域。公司拥有由十多位历史文博、图书情报、档案、艺术设计、数字媒体、计算机、测绘地理信息等学科领域专家教授构成的首席科学家团队，拥有雄厚的文化科技融合发展团队支撑。      基于规划咨询、数字资源、智慧系统、数字空间、运营传播等五大产品和服务体系，公司为行业用户提供公共文旅云、数字文保、数字考古、智慧博物馆、智慧图书馆、智慧文化馆、智慧档案馆、智慧美术馆、车载流动文化场馆和智慧文化旅游整体解决方案。为实现专业化运营和本地化服务，公司控股设立了武汉好古数字科技有限公司、武汉数文慧图科技有限公司、西安舦渡数字科技有限公司、武汉珞图数字科技有限公司、武汉墨葡数字科技有限公司、武汉数文瑞羚科技有限公司、北京垣冶建筑规划设计有限公司，在北京、西安、广州等地设有分支机构。      公司是国家高新技术企业、湖北省文化产业示范基地，具备软件能力成熟度CMMI5认证和测绘乙级资质，连续三年被认定为“瞪羚企业”，先后主持、参与承担科技部国家科技支撑计划、文化部国家文化创新工程、国家文物局“互联网+中华文明”示范项目及其他省市级重点科研课题十多项，创新成果丰富，与国际国内公共文化、科研、教育、旅游系统建立了密切的协作网络。      公司为员工提供具有行业竞争力的薪酬体系，积极探索建立科学合理的、以激励为导向的组织生态和分配模式。      创意、设计、互联，释放中华文明之美！我们渴望用自己的双手和智慧创造价值，热忱欢迎志同道合的你加入我们的团队！,7000,13000,10000.0,武汉,5-7年经验,本科
科技馆展览策划,"五险,员工旅游,交通补贴,餐饮补贴,年终奖金,绩效奖金,周末双休,每年调薪",展览/展示/店面设计,"1、科技馆展览项目的主题策划，数字多媒体展项内容策划和创意；,2、参与项目方案的研讨，拟定方案主题、展示思路及方案所展示的内容；,3、负责细化核心展示产品方案规划；,4、负责产品的原理，展示内容和展示目的的描述；,5、负责产品的主要功能，设计思路和观众操作方式的描述；,6、负责和客户对接展览方案，为项目设计产品或展示方式；,7、了解市场行情，收集调研国内外、行业内外相关产品信息，不断创新、改进；,1、理工科相关专业或文史类专业，大学本科及以上学历；,2、一年以上相关工作经验；,3、熟悉产品策划的工作标准和流程，熟悉科普行业的常见展品和展示技术，了解产品的制作过程和工艺，熟练使用办公软件和写作技能；,4、具备较强的分析判断能力、沟通能力、文字表达能力。,5、善于学习，责任心强，具有团队合作精神和良好的沟通能力，工作细致，能承受较强的工作压力。,6、可接受短期出差；",百达文化科技有限公司,民营公司,150-500人,"影视/媒体/艺术/文化传播,家居/室内设计/装潢",欣百达装饰工程有限公司成立于2005 年，注册资金5050 万元，总部位于北京，合肥建有基地，浙江、云南、陕西、山东等地有分公司。公司主营展陈设计与施工，业务领域涵盖博物馆、地质馆、纪念馆、科技馆及各类展厅项目，拥有管理团队60余人，设计团队60余人，工程管理40余人，施工团队300余人。围绕展陈行业的相关服务，从展陈大纲编撰、沙盘模型、雕塑绘画、多媒体系统集成、动画制作、互动程序编写、文创产品开发、文物修复与复制到项目施工，积累了精湛的专业技术和丰富的管理经验，为客户提供全程优质的服务。      公司具有建筑装饰装修工程设计与施工壹级、博物馆陈列展览设计、施工单位壹级、展览馆协会展览设计、施工一级、建筑幕墙工程设计施工贰级、房屋建筑工程施工总承包叁级、钢结构叁级资质。通过了“ISO9001 质量管理体系”、“ISO14001 环境管理体系”及“OHSAS18001 职业健康安全管理体系”三位一体认证。公司先后承建了中国港口博物馆、中国地质博物馆百年馆庆回顾展、云南省博物馆、四川攀枝花三线建设博物馆、曲靖市博物馆、通化自然馆等一批博物馆项目，中国有色集团展厅、北仑城市展示馆、山东淄博新材料展厅等一批展厅项目，月星家居建材卖场公共区域装饰工程、黄山旅游广场三期天都大厦等一批公装项目。近年来多次获得建筑工程装饰奖、AAA 级建筑业质量安全信誉优秀施工单位、全国工程建设典范企业等奖项。,5000,10000,7500.0,合肥-庐阳区,3-4年经验,本科
艺术展览策划师,"五险一金,绩效奖金,年终奖金","文案/策划,展览/展示/店面设计","岗位描述：,1、协助策划各类艺术展览、学术活动、文化活动等；,2、专业撰写艺术策展方案，起草艺术类文稿，以及其他艺术类文字编辑；,3、参与拟定并执行宣传推广方案，维护管理公司微信平台、自媒体栏目等。,岗位要求：,1、艺术类、文博类、文史类相关专业；,2、具备一定的艺术基础和较强的文字功底；,3、具备艺术行业基本知识，了解展览策划行业、艺术品市场、艺术机构运作模式；,4、具有各类媒体文化艺术线工作经验优先，具有博物馆、美术馆、艺术馆、文博公司等机构工作经验优先，具有行业资源优先。,其它平台意向者可将简历投递至邮箱：lmujia@outlook.com",深圳市前海股份有限公司,民营公司,500-1000人,房地产,深圳市前海股份有限公司是一家以房地产业为主，兼有文化旅游产业、现代服务业、高科技产业等多元发展的股份制综合企业。多年来，公司锐意进取，在深圳特区房地产市场中屡创佳绩，前海地产已成为深圳地产界的知名品牌。公司还不断致力于多元化战略，谋篇布局，先后在房地产开发、现代服务、科技服务、文化旅游、园林绿化、建筑装饰、物业管理等多个领域扎实拓展，奠定了企业持续发展的坚实基础。前海人以德为先、以诚为本。如果你有梦想、富朝气；如果你有担当、肯付出……，前海欢迎你！,8000,12000,10000.0,深圳-罗湖区,无需经验,本科
展览策划（文案）,"五险一金,绩效奖金,年终奖金",文案/策划,"（岗位职责）,希望你具有,                ",上海幻维数码创意科技有限公司,国企,500-1000人,影视/媒体/艺术/文化传播,"上海幻维数码创意科技有限公司,是上海广播电视台（SMG）旗下成员单位。自从2000年成立以来，幻维数码始终秉承创意、品质、服务、发展为一体的经营理念，不断致力于创意、艺术与数字科技的融合与创新，累积了十年以上三维动画、视觉特效、媒体品牌创意与制作经验。    幻维数码在中国拥有四个大型创意创作基地，上海幻维数码创意科技有限公司下属的南京西路、广中西路、威海路三大基地及云南云视幻维数码影视有限公司，总建筑面积超过10,000平方米，投资超过亿元。公司业务领域涵盖原创动画设计开发、动画制作服务外包、媒体品牌包装及推广、影视广告后期服务及企业形象推广、影视动画教育培训、演播室节目录制、高清胶转磁校色、影视编辑与特效合成、三维虚拟浏览、多媒体设计制作等…    幻维数码拥有国际先进的视觉特效创作工具，更拥有一支充满激情的创作团队。500多人组成的幻维团队正在努力实现“创造品牌、成就未来”的公司愿景。十年来的努力，不仅让幻维数码在视觉效果的创造上积累了丰富的经验，同时让公司肩负了更多的社会责任。作为上海多媒体行业协会副会长单位、上海市电影电视技术学会副理事长单位、中国动画学会会员、上海市高新技术企业、上海市技术先进型服务企业，幻维数码对中国创意产业的推动不遗余力。    今天的幻维数码还在技术的领域内不断探索，在创意的世界里不断驰骋。“新科技、新思维、新管理”，幻维数码正如同展翅的雄鹰翱翔在视觉艺术的天空。    幻维数码   创意点亮未来",8000,10000,9000.0,上海,2年经验,本科
高级展厅展览策划,"五险一金,员工旅游,专业培训,弹性工作,年终奖金,绩效奖金",文案/策划,"岗位职责：,1、深入理解客户需求及项目定位，与客户进行方案讨论；,2、组织项目创意方案讨论，挖掘、提炼创意主题；,3、进行方案构思及提案编制；,3、制定布展大纲，构思展项形式；,4、根据展览展项设计需求，进行视频、互动多媒体等脚本撰写；,5、指导文案工作，把控策划方案质量；,6、根据项目需求进行其他创意策划类工作。, ,任职资格:,1、中文、广告、编剧相关专业大专及以上学历; ,2、有 2 年以上展览展示行业工作经验；,4、文字功底深厚、擅长创意，拥有独特的思维方式；,5、有良好的沟通表达能力和抗压能力；,6、熟悉多媒体展示形式，有一定的审美能力；, 7、有政府类展览展示项目工作经验。",深圳微盐传媒科技有限公司,民营公司,150-500人,"广告,互联网/电子商务",公司简介：微盐，2012年成立以来专注于移动互联网+政务服务创新，通过行业领先的“创意+文化+科技”一站式互联网+政务服务解决方案，助力政府部门、事业单位实现政务业务品质提升、服务创新，让政务服务体验比人们生活消费更好、更便捷高效、有品质。我们的客户：目前已经累积服务各级党政部门、人大、政协、事业单位等400+，承接各类政务项目3000+。我们的服务分为六大服务：政务新媒体平台代运营 、业务节点服务 、品牌项目服务 、微盐云商城、互联网+政务主题数字体验空间、媒介推广服务 。每项服务在行业内都有标杆性项目。邀请你加入我们的优势：1.主要客户是政府，相对比较稳定，有投入肯定就有回报；2.我们偏平化的内部管理特别适合有想法、敢干的年轻人；3.我们前有能征服客户的项目团队，身后有能消化项目的文案、设计、内容团队，还有体贴周到的后勤团队，帮你记得住在微盐每个特殊的日子，为你送上祝福和礼物；4.成长型的薪资会鼓励你不断向前，在这里不管是你接触到的人，还是你经手的项目都将成为你不可或缺的能量，来吧，一起创造“微盐政能量”。 联系我们：电话：0755-29346636邮箱：hr@iwesalt.com公司地址：南山区打石1路深圳国际创新谷1栋B座12层（招商银行那栋）想了解更多请关注我们的官微“微盐政能量”,8000,10000,9000.0,深圳-南山区,3-4年经验,大专
资深展馆策划/高端展览策划/博物馆策划/展陈文案,"五险一金,员工旅游,弹性工作,年终奖金,绩效奖金","文案/策划,展览/展示/店面设计","1、 对展馆概念的策划，拟定富有创意和内涵的展览主题；,2、 大型展览馆可行分析、概念定位、策划大纲撰写；,3、 搭建整个展馆展示内容框架，合理规划各展厅（区）主题及相应内容，明确内在逻辑线索；,4、 对各展厅（区）内容作出描述或阐释，使设计部门明白展示点分布和展示线索，以便作出合理的设计。,5、 国内竞争对手情报分析与竞争对策；,6、 建立全球优秀展览馆艺术、策划、技术资料库；,应聘要求：,1、本科及以上学历，广告策划、中医文化、艺术设计、会展策划、历史考古类专业优先；,2、具备五年及以上大型展览馆策划工作经验，拥有成功策划案例者优先；,3、具有深厚的文字功底及团队协作精神，有独到的创新意识；,4、能独立编撰展览馆策划方案，善于沟通，精于提案；,5、能承受压力，能适应出差。",上海汲古文化传播有限公司,民营公司,少于50人,影视/媒体/艺术/文化传播,上海汲古文化传播有限公司坐落于浦东陆家嘴地区，是一家专业从事中医文化设计的公司，业务范围涵盖中医院、中医门诊、中医会所、中药店、中医药博物馆、中医药企业学校等中医空间设计、中医文化建设，同时还涉及软装设计、工艺礼品开发、中药标本创意研发等。,15000,20000,17500.0,上海-浦东新区,3-4年经验,大专
