iter	Accuracy	MultiClass
0	0.6304	1.822202734
1	0.6956666667	1.707404167
2	0.6981333333	1.613383203
3	0.7108666667	1.530541406
4	0.7118666667	1.462154557
5	0.7135333333	1.39953138
6	0.7195333333	1.344035156
7	0.7192	1.295209505
8	0.7238	1.251858203
9	0.7242666667	1.211911068
10	0.7244666667	1.174837109
11	0.725	1.141972917
12	0.7252	1.111347005
13	0.7259333333	1.082533919
14	0.7262666667	1.055770247
15	0.7274	1.030770964
16	0.7273333333	1.008029232
17	0.7273333333	0.9871296224
18	0.7282666667	0.9670947917
19	0.7284	0.948085612
20	0.7301333333	0.929588151
21	0.7314666667	0.9124325521
22	0.7317333333	0.8965786458
23	0.7328	0.8819922526
24	0.7335333333	0.8681359375
25	0.7341333333	0.8555978516
26	0.7346666667	0.8427205078
27	0.7354666667	0.830542513
28	0.7355333333	0.8194716146
29	0.735	0.8086121094
30	0.7364666667	0.7983677083
31	0.7362666667	0.7886001302
32	0.7376666667	0.7793639323
33	0.7381333333	0.7701673828
34	0.7386666667	0.7610204427
35	0.7382666667	0.7532763021
36	0.739	0.7459757161
37	0.7398666667	0.7386490234
38	0.7398666667	0.7313247396
39	0.7410666667	0.7247884766
40	0.7418	0.7185916667
41	0.7420666667	0.7122658854
42	0.7422666667	0.7069582031
43	0.7431333333	0.7012911458
44	0.7435333333	0.6960406901
45	0.7441333333	0.6908083984
46	0.7448666667	0.685571224
47	0.7454666667	0.6803423828
48	0.7464	0.6761702474
49	0.7470666667	0.6716824219
50	0.7475333333	0.6674648438
51	0.7489333333	0.6634591797
52	0.7494666667	0.6596027995
53	0.7502	0.6558097656
54	0.7513333333	0.651660612
55	0.7526666667	0.6482277995
56	0.753	0.645075651
57	0.754	0.6416283203
58	0.7537333333	0.638416276
59	0.7553333333	0.6351549479
60	0.7562	0.6320733724
61	0.7567333333	0.6294266276
62	0.7567333333	0.6261479167
63	0.7576	0.6235225911
64	0.7582	0.621175
65	0.7593333333	0.6182492839
66	0.7597333333	0.6157097005
67	0.7613333333	0.6130309896
68	0.7620666667	0.6106408203
69	0.7626666667	0.6087286458
70	0.7633333333	0.6068027995
71	0.7636	0.6048582682
72	0.764	0.6027139974
73	0.7647333333	0.6001045573
74	0.7654666667	0.5982490885
75	0.7661333333	0.5964115885
76	0.7673333333	0.5943199219
77	0.767	0.5921227214
78	0.7676666667	0.5897430339
79	0.7680666667	0.5881108073
80	0.7688666667	0.5864832031
81	0.7697333333	0.5840355469
82	0.7704666667	0.5820960938
83	0.7712	0.5803865885
84	0.7720666667	0.5785000651
85	0.7728666667	0.5767883464
86	0.7738	0.5751938802
87	0.7740666667	0.5733686849
88	0.7746	0.5720227865
89	0.7754666667	0.570359375
90	0.776	0.5691514974
91	0.7764	0.5676619792
92	0.7767333333	0.5662417969
93	0.7771333333	0.5641145833
94	0.7772666667	0.5627782552
95	0.7782	0.5613030599
96	0.7783333333	0.5598702474
97	0.7796666667	0.558055599
98	0.7798666667	0.5569064453
99	0.7806666667	0.5554050781
100	0.7816	0.5537005859
101	0.7823333333	0.5520958984
102	0.782	0.5507448568
103	0.7822	0.5490733724
104	0.7832666667	0.5477522135
105	0.7835333333	0.5464239583
106	0.7842666667	0.5453223633
107	0.7843333333	0.544294987
108	0.7848	0.5430834961
109	0.7852666667	0.5421235677
110	0.786	0.5407580078
111	0.7868666667	0.5393034831
112	0.7872666667	0.5383496745
113	0.7878	0.5374984375
114	0.788	0.5365360352
115	0.7886	0.5350901042
116	0.7892	0.5338564779
117	0.7896	0.5326977865
118	0.7902666667	0.5314488281
119	0.7906666667	0.5303931315
120	0.7914666667	0.5294318034
121	0.7920666667	0.5283700195
122	0.7922666667	0.5273189128
123	0.7922	0.5262409831
124	0.7926666667	0.5254457031
125	0.7926666667	0.5242235352
126	0.7930666667	0.5232818685
127	0.7936	0.5224999349
128	0.795	0.521158431
129	0.7952666667	0.5200928385
130	0.7957333333	0.5191706055
131	0.7956666667	0.5182660156
132	0.7958666667	0.5171032227
133	0.7962666667	0.5157333008
134	0.7963333333	0.5150088542
135	0.7974666667	0.5138111654
136	0.7971333333	0.5130818034
137	0.7978666667	0.5122022461
138	0.7981333333	0.5114996094
139	0.7986	0.5101761719
140	0.7987333333	0.5094487956
141	0.7994	0.5087765299
142	0.8	0.5076715495
143	0.8	0.5069141927
144	0.8002	0.5058795898
145	0.8004	0.5050250326
146	0.8009333333	0.5040090495
147	0.8017333333	0.502982487
148	0.802	0.5021728516
149	0.8026666667	0.5012687174
150	0.8034	0.5004075846
151	0.8038666667	0.499473763
152	0.8046	0.4983102865
153	0.8045333333	0.4975577799
154	0.8053333333	0.4964013997
155	0.8057333333	0.4958235677
156	0.8056666667	0.4946903646
157	0.8055333333	0.4939510742
158	0.8065333333	0.4930581706
159	0.8066	0.4924560221
160	0.8072	0.4917167969
161	0.8072666667	0.4910465169
162	0.8074666667	0.490227181
163	0.8078	0.4892848633
164	0.8082	0.4884287435
165	0.8082666667	0.4874898763
166	0.809	0.4864325846
167	0.8093333333	0.4855856445
168	0.8096	0.4846960938
169	0.8096666667	0.4836948893
170	0.8104	0.4829705404
171	0.8106666667	0.4823448568
172	0.8113333333	0.4815918945
173	0.8114	0.4809294596
174	0.8116	0.4802462891
175	0.8122	0.4793731445
176	0.8126	0.4788799154
177	0.813	0.4781413086
178	0.8134666667	0.4773570964
179	0.8139333333	0.4765220703
180	0.8137333333	0.4755869141
181	0.8138666667	0.4750315104
182	0.8142666667	0.474366862
183	0.8145333333	0.4737014974
184	0.8147333333	0.473003418
185	0.8154666667	0.4722374023
186	0.8152666667	0.4713716797
187	0.8159333333	0.4702567383
188	0.8161333333	0.4694680664
189	0.8163333333	0.4687721029
190	0.8166666667	0.4682658529
191	0.8168	0.4675388021
192	0.8176	0.4666315104
193	0.8178666667	0.4659939779
194	0.818	0.465167806
195	0.8182666667	0.4647375651
196	0.8186	0.4636073242
197	0.8188666667	0.4628722331
198	0.8197333333	0.4620492513
199	0.8206	0.4609411458
200	0.8209333333	0.4602123047
201	0.8217333333	0.4593235677
202	0.8216666667	0.4587607096
203	0.8220666667	0.4580853841
204	0.8224	0.4572188477
205	0.8223333333	0.4562770833
206	0.8224666667	0.4557485677
207	0.8228	0.4550864909
208	0.8232	0.454193099
209	0.8236666667	0.4536147461
210	0.8244	0.4528714518
211	0.8244	0.4522974935
212	0.8246666667	0.4517844076
213	0.825	0.4510008789
214	0.8256	0.4500800781
215	0.8258666667	0.4494019857
216	0.826	0.4489385417
217	0.8260666667	0.448221875
218	0.8268	0.4473803711
219	0.8272666667	0.4468680013
220	0.8277333333	0.4465579753
221	0.8279333333	0.4459602865
222	0.828	0.4453605794
223	0.828	0.4449427409
224	0.8283333333	0.4444705404
225	0.8285333333	0.4441152669
226	0.829	0.4433457682
227	0.8292	0.4428557292
228	0.8292666667	0.4423961263
229	0.8296666667	0.4417803711
230	0.83	0.4412998698
231	0.8302666667	0.4406684245
232	0.8302666667	0.4401632812
233	0.8309333333	0.4395613607
234	0.8304	0.4389375
235	0.831	0.4381571289
236	0.8312	0.4375536133
237	0.8316	0.4371076823
238	0.8320666667	0.4365699544
