iter	Passed	Remaining
0	36	91270
1	65	82114
2	92	77172
3	117	73593
4	143	71842
5	170	70929
6	194	69415
7	218	67930
8	242	67067
9	271	67510
10	320	72579
11	353	73203
12	381	72914
13	405	72029
14	430	71255
15	453	70464
16	477	69719
17	501	69218
18	527	68820
19	551	68348
20	574	67853
21	599	67486
22	625	67407
23	649	67011
24	676	66953
25	701	66725
26	726	66577
27	749	66128
28	774	66010
29	798	65708
30	821	65430
31	845	65186
32	873	65282
33	899	65204
34	922	64995
35	949	65019
36	975	64909
37	1002	64948
38	1026	64805
39	1051	64670
40	1076	64539
41	1097	64223
42	1120	64006
43	1146	63968
44	1173	64008
45	1197	63861
46	1219	63634
47	1244	63550
48	1269	63523
49	1297	63554
50	1319	63347
51	1344	63316
52	1372	63364
53	1395	63229
54	1421	63179
55	1446	63130
56	1471	63068
57	1497	63066
58	1524	63065
59	1552	63115
60	1576	63016
61	1599	62896
62	1623	62811
63	1646	62676
64	1674	62714
65	1701	62748
66	1725	62674
67	1752	62691
68	1777	62611
69	1802	62573
70	1827	62527
71	1851	62438
72	1875	62365
73	1902	62360
74	1926	62285
75	1949	62178
76	1974	62133
77	1999	62089
78	2025	62069
79	2052	62085
80	2078	62076
81	2104	62063
82	2129	62006
83	2154	61956
84	2181	61980
85	2208	61984
86	2237	62052
87	2263	62034
88	2286	61932
89	2309	61852
90	2334	61794
91	2359	61763
92	2386	61762
93	2409	61677
94	2432	61575
95	2457	61541
96	2484	61551
97	2513	61605
98	2539	61577
99	2565	61581
100	2590	61519
101	2613	61451
102	2640	61447
103	2670	61521
104	2695	61494
105	2720	61434
106	2744	61370
107	2769	61338
108	2796	61348
109	2822	61317
110	2848	61305
111	2874	61281
112	2895	61166
113	2917	61071
114	2943	61035
115	2966	60965
116	2991	60930
117	3014	60852
118	3039	60819
119	3067	60846
120	3090	60771
121	3118	60777
122	3142	60724
123	3166	60682
124	3189	60608
125	3213	60541
126	3236	60480
127	3260	60418
128	3285	60383
129	3309	60330
130	3332	60269
131	3356	60217
132	3382	60191
133	3408	60190
134	3436	60198
135	3462	60178
136	3487	60160
137	3510	60089
138	3533	60025
139	3558	59985
140	3583	59945
141	3606	59890
142	3629	59828
143	3655	59815
144	3682	59801
145	3709	59808
146	3733	59761
147	3759	59751
148	3784	59721
149	3811	59713
150	3835	59673
151	3863	59679
152	3891	59692
153	3916	59669
154	3944	59678
155	3968	59624
156	3992	59586
157	4017	59553
158	4042	59517
159	4065	59459
160	4089	59418
161	4110	59322
162	4133	59268
163	4159	59251
164	4183	59204
165	4207	59163
166	4235	59165
167	4268	59249
168	4294	59234
169	4320	59215
170	4346	59201
171	4371	59174
172	4396	59140
173	4423	59132
174	4449	59120
175	4475	59096
176	4500	59065
177	4526	59043
178	4555	59070
