城市定位,区县定位,街道定位,小区定位,热度,参考均价,建筑年代,建筑类型,物业费,物业,开发商,楼栋总数,房屋总数,经度,纬度,房龄
南京,玄武 ,长江路  ,重庆新村               ,2,,,板楼           ,,暂无信息                      ,暂无信息                       ,1,9,118.8095343,32.05245979,
南京,鼓楼 ,福建路  ,萨家湾                ,90,28628,1990,板楼/塔板结合      ,0.5,街道办事处（委员会）代管物业            ,南京鼓楼城镇建设综合开发（集团）公司         ,23,801,118.768084 ,32.088601000000004,29.0
南京,秦淮 ,长乐路  ,宏图上福园北园            ,155,39506,2007,板楼           ,1.2,街道办事处（委员会）代管物业            ,江苏宏图高科房地产开发有限公司            ,5,288,118.790467 ,32.021782,12.0
南京,江宁 ,岔路口  ,南方花园B组团            ,335,26691,2002,板楼           ,1.2,南京银城物业服务有限公司              ,江苏经纬房地产有限公司                ,19,730,118.823583 ,31.967333,17.0
南京,玄武 ,长江路  ,鸡鹅巷                ,20,40768,1988,板楼           ,1,街道办事处（委员会）代管物业            ,南京市政建设开发有限公司               ,2,140,118.797275 ,32.054875,31.0
南京,雨花台,雨花新村 ,雨花客厅               ,298,21850,2015,塔楼/塔板结合      ,,业主自筹物业                    ,南京丰盛大族科技股份有限公司             ,7,1926,118.770712 ,31.982423999999998,4.0
南京,鼓楼 ,草场门大街,银城宝船听涛             ,264,53023,2005,板楼           ,,南京银城物业服务股份有限公司            ,南京银城房地产开发有限公司              ,16,306,118.7398621,32.06454899,14.0
南京,鼓楼 ,水佐岗  ,宁夏路23号             ,23,69139,1991,板楼           ,1,街道办事处（委员会）代管物业            ,鼓楼区房产开发公司                  ,4,67,118.7688547,32.07138744,28.0
南京,秦淮 ,洪家园  ,汇景家园汇满苑            ,81,29504,2005,板楼/塔板结合      ,0.5,私人承办物业                    ,无开发商                       ,11,655,118.814946 ,31.988853999999996,14.0
南京,玄武 ,孝陵卫  ,南京空间大数据产业基地        ,0,,2019,塔板结合         ,,中化金茂物业管理（北京）有限公司杭州分公司     ,南京骋望置业有限公司（南京）             ,1,163,118.8874004,32.02571546,0.0
南京,秦淮 ,大光路  ,大光路17号             ,0,,,未知类型         ,,暂无信息                      ,暂无信息                       ,2,2,118.8206078,32.02909883,
南京,江宁 ,岔路口  ,金盛公寓               ,76,24301,2005,板楼           ,0.3,街道办事处（委员会）代管物业            ,江苏恒建房地产发展有限发展公司            ,18,639,118.8310345,31.97587402,14.0
南京,秦淮 ,洪家园  ,窨子山路69，71，73号      ,0,,,未知类型         ,,暂无信息                      ,暂无信息                       ,1,1,118.80535  ,31.994023,
