公司名称	披露日期	上市地和板块	保荐机构	披露类型
上海太和水环境科技发展股份有限公司	2020-01-03	上交所	中原证券股份有限公司	预先披露更新
济南圣泉集团股份有限公司	2020-01-03	上交所	长城证券股份有限公司	预先披露
浙江省新能源投资集团股份有限公司	2020-01-03	上交所	财通证券股份有限公司	预先披露
神通科技集团股份有限公司	2020-01-03	上交所	广发证券股份有限公司	预先披露更新
苏州市味知香食品股份有限公司	2020-01-03	上交所	国泰君安证券股份有限公司	预先披露
重庆四方新材股份有限公司	2020-01-03	上交所	中原证券股份有限公司	预先披露更新
宁波世茂能源股份有限公司	2019-12-27	上交所	东方花旗证券有限公司	预先披露
江西九丰能源股份有限公司	2019-12-27	上交所	中国国际金融股份有限公司	预先披露
浙江大自然户外用品股份有限公司	2019-12-27	上交所	东方花旗证券有限公司	预先披露
浙江李子园食品股份有限公司	2019-12-26	上交所	财通证券股份有限公司	预先披露
浙江迎丰科技股份有限公司	2019-12-26	上交所	国元证券股份有限公司	预先披露
王力安防科技股份有限公司	2019-12-26	上交所	海通证券股份有限公司	预先披露
长春英利汽车工业股份有限公司	2019-12-26	上交所	中信证券股份有限公司	预先披露
陕西北元化工集团股份有限公司	2019-12-26	上交所	华泰联合证券有限责任公司	预先披露
上海健麾信息技术股份有限公司	2019-12-20	上交所	国信证券股份有限公司	预先披露更新
江苏嵘泰工业股份有限公司	2019-12-20	上交所	广发证券股份有限公司	预先披露更新
浙江一鸣食品股份有限公司	2019-12-20	上交所	中信证券股份有限公司	预先披露更新
浙江天正电气股份有限公司	2019-12-20	上交所	国泰君安证券股份有限公司	预先披露更新
浙江帅丰电器股份有限公司	2019-12-20	上交所	国信证券股份有限公司	预先披露更新
苏州林华医疗器械股份有限公司	2019-12-20	上交所	国泰君安证券股份有限公司	预先披露
衢州五洲特种纸业股份有限公司	2019-12-20	上交所	华创证券有限责任公司	预先披露更新
财达证券股份有限公司	2019-12-20	上交所	中信建投证券股份有限公司	预先披露
伟时电子股份有限公司	2019-12-13	上交所	民生证券股份有限公司	预先披露更新
山西华翔集团股份有限公司	2019-12-13	上交所	国泰君安证券股份有限公司	预先披露更新
杭州华旺新材料科技股份有限公司	2019-12-13	上交所	中信建投证券股份有限公司	预先披露更新
中饮巴比食品股份有限公司	2019-12-12	上交所	国元证券股份有限公司	预先披露更新
山东百龙创园生物科技股份有限公司	2019-12-12	上交所	中德证券有限责任公司	预先披露
无锡派克新材料科技股份有限公司	2019-12-12	上交所	东兴证券股份有限公司	预先披露更新
森林包装集团股份有限公司	2019-12-12	上交所	光大证券股份有限公司	预先披露更新
浙江华达新型材料股份有限公司	2019-12-12	上交所	海通证券股份有限公司	预先披露更新
浙江拱东医疗器械股份有限公司	2019-12-12	上交所	中泰证券股份有限公司	预先披露更新
舒华体育股份有限公司	2019-12-12	上交所	中信证券股份有限公司	预先披露更新
齐鲁银行股份有限公司	2019-12-12	上交所	中信建投证券股份有限公司	预先披露更新
厦门建霖健康家居股份有限公司	2019-12-06	上交所	长江证券承销保荐有限公司	预先披露更新
晶科电力科技股份有限公司	2019-11-27	上交所	中信建投证券股份有限公司	预先披露更新
奥锐特药业股份有限公司	2019-11-22	上交所	安信证券股份有限公司	预先披露更新
德才装饰股份有限公司	2019-11-22	上交所	光大证券股份有限公司	预先披露
龙岩高岭土股份有限公司	2019-11-22	上交所	兴业证券股份有限公司	预先披露
上海华峰铝业股份有限公司	2019-11-19	上交所	兴业证券股份有限公司	预先披露更新
上海沿浦金属制品股份有限公司	2019-11-19	上交所	中银国际证券股份有限公司	预先披露更新
上海新炬网络信息技术股份有限公司	2019-11-15	上交所	中国国际金融股份有限公司	预先披露更新
京沪高速铁路股份有限公司	2019-11-06	上交所	中信建投证券股份有限公司	预先披露更新
华丰动力股份有限公司	2019-11-06	上交所	国金证券股份有限公司	预先披露更新
全美在线（北京）教育科技股份有限公司	2019-11-01	上交所	中信建投证券股份有限公司	预先披露更新
杭州聚合顺新材料股份有限公司	2019-11-01	上交所	广发证券股份有限公司	预先披露更新
上海丽人丽妆化妆品股份有限公司	2019-10-31	上交所	广发证券股份有限公司	预先披露更新
山东玻纤集团股份有限公司	2019-10-31	上交所	民生证券股份有限公司	预先披露更新
江西国光商业连锁股份有限公司	2019-10-31	上交所	中信证券股份有限公司	预先披露更新
京沪高速铁路股份有限公司	2019-10-25	上交所	中信建投证券股份有限公司	预先披露
北京新时空科技股份有限公司	2019-10-25	上交所	中信建投证券股份有限公司	预先披露更新
嘉兴斯达半导体股份有限公司	2019-10-25	上交所	中信证券股份有限公司	预先披露更新
江苏共创人造草坪股份有限公司	2019-10-25	上交所	中信证券股份有限公司	预先披露更新
西藏运高新能源股份有限公司	2019-10-25	上交所	长江证券承销保荐有限公司	预先披露更新
青岛威奥轨道股份有限公司	2019-10-25	上交所	中信建投证券股份有限公司	预先披露更新
上海盛剑环境系统科技股份有限公司	2019-10-18	上交所	海通证券股份有限公司	预先披露
宁波长鸿高分子科技股份有限公司	2019-10-18	上交所	华西证券股份有限公司	预先披露更新
常州市凯迪电器股份有限公司	2019-10-18	上交所	中信建投证券股份有限公司	预先披露更新
江西宏柏新材料股份有限公司	2019-10-18	上交所	中信证券股份有限公司	预先披露更新
福然德股份有限公司	2019-10-18	上交所	中信建投证券股份有限公司	预先披露更新
三人行传媒集团股份有限公司	2019-10-15	上交所	兴业证券股份有限公司	预先披露更新
中国邮政储蓄银行股份有限公司	2019-10-15	上交所	中国国际金融股份有限公司,中邮证券有限责任公司	预先披露更新
厦门力鼎光电股份有限公司	2019-10-15	上交所	国金证券股份有限公司	预先披露更新
昆山沪光汽车电器股份有限公司	2019-10-15	上交所	中信建投证券股份有限公司	预先披露更新
上海起帆电缆股份有限公司	2019-10-09	上交所	海通证券股份有限公司	预先披露更新
温州市冠盛汽车零部件集团股份有限公司	2019-10-09	上交所	国金证券股份有限公司	预先披露更新
佳禾食品工业股份有限公司	2019-09-27	上交所	东吴证券股份有限公司	预先披露
税友软件集团股份有限公司	2019-09-27	上交所	国金证券股份有限公司	预先披露
浙江越剑智能装备股份有限公司	2019-09-26	上交所	浙商证券股份有限公司	预先披露更新
江苏同力日升机械股份有限公司	2019-09-06	上交所	中原证券股份有限公司	预先披露
湖南宇新能源科技股份有限公司	2019-09-05	上交所	安信证券股份有限公司	预先披露更新
爱玛科技集团股份有限公司	2019-09-05	上交所	中信证券股份有限公司	预先披露更新
重庆三峰环境集团股份有限公司	2019-09-05	上交所	中信建投证券股份有限公司	预先披露更新
中际联合（北京）科技股份有限公司	2019-08-30	上交所	中信建投证券股份有限公司	预先披露
张家港爱丽家居科技股份有限公司	2019-08-30	上交所	广发证券股份有限公司	预先披露
浙江建业化工股份有限公司	2019-08-22	上交所	浙商证券股份有限公司	预先披露更新
上海锦和商业经营管理股份有限公司	2019-08-16	上交所	中信建投证券股份有限公司	预先披露更新
贵州三力制药股份有限公司	2019-08-14	上交所	申港证券股份有限公司	预先披露更新
万联证券股份有限公司	2019-07-05	上交所	瑞银证券有限责任公司	预先披露
上海农村商业银行股份有限公司	2019-07-05	上交所	海通证券股份有限公司,国泰君安证券股份有限公司	预先披露
上海永茂泰汽车科技股份有限公司	2019-07-05	上交所	华泰联合证券有限责任公司	预先披露
东方航空物流股份有限公司	2019-07-05	上交所	中国国际金融股份有限公司	预先披露
云南健之佳健康连锁店股份有限公司	2019-07-05	上交所	红塔证券股份有限公司	预先披露
无锡市振华汽车部件股份有限公司	2019-07-05	上交所	国泰君安证券股份有限公司	预先披露
浙江新中港清洁能源股份有限公司	2019-07-05	上交所	平安证券股份有限公司	预先披露
中国邮政储蓄银行股份有限公司	2019-06-28	上交所	中国国际金融股份有限公司,中邮证券有限责任公司	预先披露
中国黄金集团黄金珠宝股份有限公司	2019-06-28	上交所	中信证券股份有限公司	预先披露
佳农食品控股（集团）股份有限公司	2019-06-28	上交所	中国国际金融股份有限公司	预先披露
北京城建设计发展集团股份有限公司	2019-06-28	上交所	中信证券股份有限公司	预先披露
北京正和恒基滨水生态环境治理股份有限公司	2019-06-28	上交所	招商证券股份有限公司	预先披露
北大荒垦丰种业股份有限公司	2019-06-28	上交所	中国银河证券股份有限公司	预先披露
合兴汽车电子股份有限公司	2019-06-28	上交所	国泰君安证券股份有限公司	预先披露
天津友发钢管集团股份有限公司	2019-06-28	上交所	东兴证券股份有限公司	预先披露
宁波德业科技股份有限公司	2019-06-28	上交所	光大证券股份有限公司	预先披露
常州澳弘电子股份有限公司	2019-06-28	上交所	国金证券股份有限公司	预先披露
广州九恒条码股份有限公司	2019-06-28	上交所	东兴证券股份有限公司	预先披露
成都立航科技股份有限公司	2019-06-28	上交所	华西证券股份有限公司	预先披露
新亚强硅化学股份有限公司	2019-06-28	上交所	国金证券股份有限公司	预先披露
新亚电子股份有限公司	2019-06-28	上交所	长江证券承销保荐有限公司	预先披露
明新旭腾新材料股份有限公司	2019-06-28	上交所	第一创业证券承销保荐有限责任公司	预先披露
