Time,Price
1,460
2,457
3,452
4,459
5,462
6,459
7,463
8,479
9,493
10,490
11,492
12,498
13,499
14,497
15,496
16,490
17,489
18,478
19,487
20,491
21,487
22,482
23,479
24,478
25,479
26,477
27,479
28,475
29,479
30,476
31,476
32,478
33,479
34,477
35,476
36,475
37,475
38,473
39,474
40,474
41,474
42,465
43,466
44,467
45,471
46,471
47,467
48,473
49,481
50,488
51,490
52,489
53,489
54,485
55,491
56,492
57,494
58,499
59,498
60,500
61,497
62,494
63,495
64,500
65,504
66,513
67,511
68,514
69,510
70,509
71,515
72,519
73,523
74,519
75,523
76,531
77,547
78,551
79,547
80,541
81,545
82,549
83,545
84,549
85,547
86,543
87,540
88,539
89,532
90,517
91,527
92,540
93,542
94,538
95,541
96,541
97,547
98,553
99,559
100,557
101,557
102,560
103,571
104,571
105,569
106,575
107,580
108,584
109,585
110,590
111,599
112,603
113,599
114,596
115,585
116,587
117,585
118,581
119,583
120,592
121,592
122,596
123,596
124,595
125,598
126,598
127,595
128,595
129,592
130,588
131,582
132,576
133,578
134,589
135,585
136,580
137,579
138,584
139,581
140,581
141,577
142,577
143,578
144,580
145,586
146,583
147,581
148,576
149,571
150,575
151,575
152,573
153,577
154,582
155,584
156,579
157,572
158,577
159,571
160,560
161,549
162,556
163,557
164,563
165,564
166,567
167,561
168,559
169,553
170,553
171,553
172,547
173,550
174,544
175,541
176,532
177,525
178,542
179,555
180,558
181,551
182,551
183,552
184,553
185,557
186,557
187,548
188,547
189,545
190,545
191,539
192,539
193,535
194,537
195,535
196,536
197,537
198,543
199,548
200,546
201,547
202,548
203,549
204,553
205,553
206,552
207,551
208,550
209,553
210,554
211,551
212,551
213,545
214,547
215,547
216,537
217,539
218,538
219,533
220,525
221,513
222,510
223,521
224,521
225,521
226,523
227,516
228,511
229,518
230,517
231,520
232,519
233,519
234,519
235,518
236,513
237,499
238,485
239,454
240,462
241,473
242,482
243,486
244,475
245,459
246,451
247,453
248,446
249,455
250,452
251,457
252,449
253,450
254,435
255,415
256,398
257,399
258,361
259,383
260,393
261,385
262,360
263,364
264,365
265,370
266,374
267,359
268,335
269,323
270,306
271,333
272,330
273,336
274,328
275,316
276,320
277,332
278,320
279,333
280,344
281,339
282,350
283,351
284,350
285,345
286,350
287,359
288,375
289,379
290,376
291,382
292,370
293,365
294,367
295,372
296,373
297,363
298,371
299,369
300,376
301,387
302,387
303,376
304,385
305,385
306,380
307,373
308,382
309,377
310,376
311,379
312,386
313,387
314,386
315,389
316,394
317,393
318,409
319,411
320,409
321,408
322,393
323,391
324,388
325,396
326,387
327,383
328,388
329,382
330,384
331,382
332,383
333,383
334,388
335,395
336,392
337,386
338,383
339,377
340,364
341,369
342,355
343,350
344,353
345,340
346,350
347,349
348,358
349,360
350,360
351,366
352,359
353,356
354,355
355,367
356,357
357,361
358,355
359,348
360,343
361,330
362,340
363,339
364,331
365,345
366,352
367,346
368,352
369,357
