Z,road_length,road_count,restaurant_count,veg_count,lng,lat
212,1735.529165,16,0,0,120.857,31.10316405
280,562.2851972,11,0,0,120.857,31.11218079
125,0,0,0,0,120.867,31.12137153
284,0,0,0,0,120.867,31.1303883
148,0,0,0,0,120.867,31.09432113
212,247.0027937,4,0,0,120.867,31.10333794
280,4312.179963,29,0,0,120.867,31.11235474
284,0,0,0,0,120.877,31.13957835
125,1314.207703,7,1,0,120.877,31.12154469
284,653.1608675,2,0,0,120.877,31.13056153
148,0,0,0,0,120.878,31.09449411
211,0,0,0,0,120.878,31.10351098
182,1015.845888,2,0,0,120.878,31.11252785
253,0,0,0,0,120.887,31.13975078
149,1412.107895,4,0,0,120.888,31.12171701
253,856.3101305,3,0,0,120.888,31.1307339
72,0,0,0,0,120.888,31.09466624
255,0,0,0,0,120.888,31.10368317
198,1008.469572,2,0,0,120.888,31.1127001
60,0,0,0,0,120.889,31.06761535
0,0,0,0,0,120.889,31.08564929
150,0,0,0,0,120.889,31.04958135
229,0,0,0,0,120.889,31.05859835
251,0,0,0,0,120.89,31.04056433
165,0,0,0,0,120.898,31.13992237
304,346.4155174,1,0,0,120.898,31.12188847
165,0,0,0,0,120.898,31.13090542
176,1701.060021,6,0,0,120.898,31.1128715
60,0,0,0,0,120.899,31.06778644
0,987.8903294,9,1,0,120.899,31.07680348
0,1672.582906,17,4,0,120.899,31.08582051
1,1782.846166,6,0,0,120.899,31.09483752
255,1016.894258,1,1,0,120.899,31.10385451
6,475.1163927,5,0,0,120.9,31.02270104
236,0,0,0,0,120.9,31.03171815
251,1044.342516,3,0,0,120.9,31.04073525
262,2408.925073,9,0,0,120.9,31.04975233
229,597.8666357,2,0,0,120.9,31.05876939
285,0,0,0,0,120.908,31.1400931
248,2999.927625,16,6,0,120.909,31.12205908
65,770.8620189,3,0,0,120.909,31.13107609
0,546.0073403,3,0,0,120.909,31.09500795
181,1080.857906,2,0,0,120.909,31.104025
109,2704.490375,10,0,0,120.909,31.11304205
129,2712.786285,32,1,0,120.91,31.06795669
13320,1181.433062,11,13,0,120.91,31.07697379
0,0,0,0,0,120.91,31.08599087
88,3305.98391,23,0,0,120.91,31.04992245
148,2308.270285,19,0,0,120.91,31.05893958
297,2236.445543,13,0,0,120.911,31.02287099
278,2989.100941,24,0,0,120.911,31.03188816
17,2324.088721,16,5,0,120.911,31.04090531
0,0,0,0,0,120.911,31.01385381
285,0,0,0,0,120.919,31.14026297
72,3100.806796,25,10,0,120.919,31.12222883
139,1669.758918,8,0,0,120.919,31.13124591
0,4631.390711,32,3,0,120.919,31.11321174
88,3319.013969,30,0,0,120.92,31.06812609
3464,0,0,0,0,120.92,31.07714325
4765,0,0,0,0,120.92,31.08616039
0,0,0,0,0,120.92,31.09517752
