job_name,job_stars,job_category,job_description,company_name,company_type,company_size,company_industry,company_introduction,min_salary,max_salary,mid_salary,place,exp_years,education
活动策划/会议策划/会展策划,"员工旅游,餐饮补贴,出国机会,定期体检,做五休二,绩效奖金,节日福利,社保","活动策划,艺术指导/舞台美术设计","江苏黑马旗下分公司万业会务（苏州）有限公司招聘有能力的活动策划/舞美设计,任职资格：,1、全日制本科以上学历，新闻、活动、会议、广告、营销等相关专业； ,2、形象良好，26-40，熟悉活动运营和各会议类型活动策划技巧； ,3、注重商务礼仪，表达能力强，优秀的人际交往和协调能力； ,4、熟悉各种办公软件，PPT操作熟练； ,5、有两年以会议活动策划经验，有过会议、会展、活动策划从业者优先考虑。,岗位职责：,1、协助项目部门，与客户进行谈判，了解客户的需求； ,2、协助项目组的组织协调工作、项目执行部日常管理及上级交办的任务； ,3、具有优秀出色的策划能力、提案制作和陈述能力； ,4、将活动策划文案转化为具体的执行方案，细化工作流程、严格按照时间节点和质量要求完成工作； ,5、具有文化、广告、公关公司或同岗位工作经历。",江苏黑马国际展览有限公司,民营公司,少于50人,"公关/市场推广/会展,家居/室内设计/装潢",江苏黑马国际展览有限公司总部位于苏州，在杭州、合肥、南京、成都等地设有办事处，提供国内、中国港澳台、新加坡、阿联酋、德国、南非、美国、日本、韩国等全球国家展览服务。公司是集展会服务，展览服务，展厅设计装修、搭建制作、活动策划为一体的综合性展览服务公司。从事全球的展台搭建设计、展览设计搭建、展厅设计装修、展厅制作、专卖店装修、展柜制作、舞台会场布置、礼仪庆典服务、企业形象策划等。公司发展迅速，现已成为华东极具竞争力的展览服务公司。黑马国际，欢迎有理想的你加入黑马家庭，同努力，共奋斗！,6000,8000,7000.0,苏州-工业园区,2年经验,本科
会展策划专员,"五险一金,免费班车,交通补贴,餐饮补贴,专业培训,定期体检,年终奖金",医疗器械市场推广,"岗位职责：,1. 负责市场推广会议、产品上市发布会、专题沙龙、区域性学术年会、展会等市场活动的策划、执行及结果跟踪。,2. 负责公司市场行业信息收集，竞争市场调研数据汇总、活动推广方式制定、品牌构建和传播推广落地。,3. 负责各类活动的组织、执行、跟踪及总结，并有效协调好各部门配合。,4.根据产品定位与市场需求进行策划推广创意。,5.对行业协会、其他机构等渠道洽谈合作模式进行策划活动。,6.策划会议营销活动，邀请目标人群参加，利用特殊场所举办产品展示与体验活动。,7.获取行业相关展会活动，策划、组织、参加重要的展览活动。,8.跨部门的相关工作配合协作执行。,任职资格：,1. 大专及以上学历，1年以上市场策划经验，有医疗领域经验更佳。,2. 具有较强的组织、策划及分析能力。,3. 有责任感，能承受较大的工作压力。,4. 具备良好的沟通和团队协作能力。,5. 性格开朗，积极主动。",南京麦澜德医疗科技有限公司,民营公司,150-500人,医疗设备/器械,南京麦澜德医疗科技有限公司（以下简称：麦澜德；英文名：Medlander）成立于2013年，是国内盆底诊疗领域***。作为盆底康复领域的领导者，在盆底康复领域不断创新，将互联网技术与盆底诊疗技术不断融合，通过多项核心专利技术和大数据算法，提升盆底诊疗效率和医疗体验。公司业务涉及医疗设备设计开发、医疗软件系统开发、移动医疗APP开发推广，家用医疗产品研发、生产、销售等。公司以“创造极致健康体验”为己任，在10年内成为世界级的轻型医疗科技公司。公司荣获：高新技术企业、南京首批“南京市生物医药新产品”、江宁科技进步奖二等奖、江苏省创新创业大赛三等奖、江苏省民营科技企业、软件企业等荣誉。企业福利：1、朝九晚六、周末双休、年假、节假日；2、六险一金、年终奖、健康体检；3、公司另外还有餐补、交通补、话费补助；4、团队建设拓展活动、员工旅游；5、生日蛋糕券；甲级办公环境；真诚的邀请您的加入！有意向的可以发送简历到邮箱：hr@medlander.com联系电话：025-69782954,5000,8000,6500.0,南京-雨花台区,1年经验,大专
会展策划,"五险一金,补充医疗保险,员工旅游,年终奖金,包吃,餐饮补贴",会务/会展专员,"职位描述,1. 协助会展部经理落实会展服务实施，方案的制定，包括协调整合各方资源，确认和执行会展方案，对会展全程进行组织管理；,2. 开拓及维护新老客户资源，建立标准的会展服务流程体系；,3. 负责会展业务所需的供应商体系搭建，建立维护供应商资源合作。,任职要求,1. 1年以上会展行业工作经验；,2. 会展策划管理、市场营销等相关专业，大专及以上学历；,3. 熟练办公软件（Excel，PPT）及3D MAX，CAD，PS等相关设计软件;,4. 责任心强，工作细致，良好的沟通能力和积极向上的团队精神；,5. 抗压能力强，工作积极并能接受挑战。,待遇福利,1、周末双休，享受国家法定节假日；,2、五险一金，十三薪；,3、定期公司组织聚餐，外出旅游等活动；,4、对于表现优秀者，公司还将提供宽广的晋升平台。",无锡多乐影视艺术发展有限公司,民营公司,少于50人,影视/媒体/艺术/文化传播,"无锡市多乐影视文化传媒有限公司创立于1995年。初期主要从事平面广告业务及影视特效制作。2003起，公司业务拓展至公关活动策划、展览展示及展会服务、电影制片、动漫制作、工程装饰、媒体代理等业务，使得多乐发展成为苏锡常地区***的活动庆典策划与影视制作综合性广告公司，客户涵盖中央电视台、上海电视台、峨眉电影制片厂以及上海、苏州、无锡、常州等地的上百家大型知名欧美企业和地方政府，其中包括了康明斯、铁姆肯、卡特彼勒、希捷、朗盛、达能、阿斯利康、伟世通、唐纳森、海力士、通用等世界500强企业，多乐有一支与众不同的团队，他们勇于实践并且极具创造力，还拥有他人无法比拟的策划经验和艺术修养，无论事物俱细多乐团队都以无限的热情与认真的工作态度应对,总是在不断创造着奇迹。正如挪威住沪总领事Fred Nomme先生所说：多乐是一家极具创意并具有国际水准的优秀公司。",3000,5000,4000.0,无锡-无锡新区,1年经验,大专
会展策划及执行/策划专员,"五险一金,绩效奖金,年终奖金,员工旅游,周末双休",平面设计师,"福利待遇： ,1、科学合理的绩效考核体系以及具有竞争优势的薪酬制度！ ,2、为员工购买五险一金，让员工无后顾之忧！ ,3、五天八小时工作制、周末双休、法定节假日之外的带薪病假、年休假，让员工与家人共享美好生活！",江苏蒙亿网络科技有限公司,民营公司,50-150人,"互联网/电子商务,广告",00000000,4000,6000,5000.0,南京-玄武区,NA,NA
会展策划,,"活动策划,会务/会展专员","1.根据公司品牌特色和客户要求构思活动方案 ,2.负责策划方案PPT的编辑 ,3.协助项目负责人对活动项目进行整体协调和把控",苏州昊拓文化传媒有限公司,合资,少于50人,"影视/媒体/艺术/文化传播,公关/市场推广/会展",公司是一家集婚礼策划，婚纱摄影，活动庆典策划为一体的综合性传媒公司，现有员工15人，办公面积390平方，办公区，洽谈区，VIP室，化妆间，服装间，摄影棚一应俱全！现业务急速扩展急需人才加入；我们相信，能力是可以培养的，但是态度永远是***位的！！充满斗志，希望一起奋斗创业的小伙伴们快点加入我们吧！！,6000,8000,7000.0,苏州-吴中区,1年经验,中专
会展策划/会展执行,"包吃,包住宿,绩效奖金,节日福利,专业培训,社保齐全","会务/会展专员,会务/会展主管","职位信息：,1、根据项目要求策划主场运营方案，实施前期、现场、后期工作。,2、负责公司各类展会主场项目的跟进与执行；对项目方案进行落实，对流程全程监督。,3、依据展会主场执行计划，把控项目进度，严格把控活动质量与活动执行细节。,4、根据要求制定、调整活动方案，实施前期、现场、后期工作。,5、负责展会及资源整合的业务开拓，对接展览公司及执行项目。,任职要求：,1、大专及以上学历40岁以下；3年以上展览营运经验。,2、具有较强的策划能力及市场开拓能力;良好的沟通能力及协调能力;开拓与服务精神良好。,3、能撰写项目运营方案、展会流程、策划方案及预算等文案。,4、有金属、钢材、机电、消防、配件展会招商经验或采购商资源或者相关行业协会资源者优先。",广东乐从钢铁世界有限公司,民营公司,150-500人,"物业管理/商业中心,建筑/建材/工程",广东乐从钢铁世界项目，位于乐从镇南面的大罗村，毗邻佛山一环快速干道，交通四通八达，贯穿325国道，连接禅城、广州、中山等城市。乐从钢铁世界的成立，既配合佛山市东平新城建设腾出土地空间，承接现有钢铁市场商户搬迁，重构城市发展空间，又推动现有钢铁市场走向总部集群经济形态，实现产业升级的战略举措。   广东乐从钢铁世界总规划用地约4000亩，分为四大功能区，分别为：商务办公区、现货区、加工仓库区、仓储物流区，是一个统一规划、品种齐全、区域鲜明、模式先进、形态多样、工贸一体的新型钢铁市场，市场新区的经营模式将在地摊式传统市场经营水平的基础上进一步提升，推行多种经营模式，致力于建设现代钢铁物流加工配送的服务体系，完善交易、仓储、加工配送、信息分析、融资和外贸等功能。    项目建成后，将是国内现有规模最庞大、功能最齐全、设施最先进的钢铁物资贸易、物流配送、加工、仓储及金属物资信息交流平台基地，为钢铁的生产加工企业、经销商与用户提供全方位的“一站式”服务。项目估算总投资55亿元，计划于2012年投入使用。联系方式：18123561242（微信同步）或0757-29878232,8000,10000,9000.0,佛山,3-4年经验,大专
会展策划专员,"餐饮补贴,年终奖金,五险,节日福利,带薪年假,周末双休,定期团建,绩效奖金","会务/会展专员,活动策划","一、岗位要求：,1、大专及以上学历，有2年以上会展公司工作经验或招展布展经验，熟悉招展布展的完整流程；,2、工作细致，心思细腻，思维活跃，善于沟通，有较强的项目策划执行能力；,3、能独立撰写各类策划文案，有创意，有较强的责任心及团队合作精神。,二、工作职责：,1、了解客户需求、把握创意方向、组织创意发想，根据领导安排进行招展布展工作；,2、对行业的运营方向具有敏感性，并能够进行分析，提出建设性方案；,3、负责展会策划、执行工作。,三、薪资待遇：,1、转正后为员工缴纳五险；,2、单位有食堂，每月有餐补。,3、全体员工享有元旦、清明节、五一、端午、国庆、中秋、春节等法定假期及相应福利，工资满一年享有带薪年假；,4、双休，每天工作6.5。",福建省海峡农业杂志社有限公司,民营公司,少于50人,"文字媒体/出版,广告",由福建省科学技术协会主管，福建省农学会与福建省特色现代农业研究院共同主办的《海峡农业》杂志，是一本面向全国发行，具有政策性、指导性、权威性的期刊。杂志立足于海峡两岸，致力于宣扬两岸在农业现代化实践中的新成果、新技术和新经验，普及现代化农业科学知识，宣传中央、省、市的惠农政策，旨在沟通农业信息，预测市场动向，服务科教兴农，指导农业生产，促进经济发展。《海峡农业》力求为省级、地方及企业领导层提供最有决策借鉴价值的资讯，做福建现代农业的真实记录者；努力为广大读者提供***面的资讯、最前沿的理论、最深入的报道；提供最贴近市场的服务和最开放的交流平台，办成一份坚持服务两岸现代农业、具有广阔视野和专业水准的权威杂志。,4500,6000,5250.0,福州-鼓楼区,2年经验,大专
会展策划经理,"五险一金,带薪年假,包住宿,绩效奖金,节日福利,专业培训,加班补贴,补充公积金","企业策划人员,市场企划经理/主管","工作内容：,1、负责活动文案撰写，独立完成各项文案及相关文字工作；,2、根据公司营销策略和方案，撰写宣传资料和相关活动文案；,3、编写考察方案、活动策划方案，制作预算、报价和决算。,4、完成领导交办的其他工作。,任职要求：,1、3年以上会展策划或楼盘策划经验；,2、熟悉各类外经贸活动；,3、具备独立撰写相关市场策划、营销策划方案的能力；,4、具有较强的策略性、创造性，较强的语言掌控能力及较好的文字功底；,5、营销、市场、会展、经济相关专业。",武汉阳逻港口服务有限公司,合资,150-500人,"酒店/旅游,贸易/进出口",武汉阳逻港口服务有限公司于2009年3月经武汉市新洲区工商行政管理局批准登记成立，是武汉新港阳逻核心港区的综合性配套服务企业。    公司由武汉金融控股集团（原武汉经济发展投资（集团）有限公司）投资控股，主要负责旗下的武汉新港华中贸易服务区项目的建设与营运，项目位于武汉阳逻开发区平江大道以东，柴泊湖以西，口岸联检大楼以南，毗邻武汉新港空港综合保税区阳逻港园区和武汉阳逻多式联运海关监管中心    武汉新港华中贸易服务区项目由武汉金融控股集团控股投资兴建，总建筑面积252000平方米，计划总投资20亿元。项目得到了省、市、区各级政府和主要领导的关心和支持，项目建成后定位为武汉新港华中贸易与港航物流服务聚集区，致力于打造金融服务结算中心、国际贸易交易中心、政务服务中心、航运物流集聚中心、国际会议展览中心、创新创业孵化中心等六大中心，搭建供应链金融平台、跨境电商交易平台、交易所平台、口岸服务平台、保税物流平台、企业孵化平台、会议会展、旅游集散平台及商业配套平台等八大平台，配套建设有五星级酒店（旅游集散中心）、主题休闲广场、停车场等公共服务设施。该项目已被湖北省发改委纳入湖北长江经济带重点建设项目，被武汉市交通委列入武汉市十三五交通规划重点项目，被武汉市物流局列入武汉市物流信息化重点建设项目，被新洲区政府纳入新洲区十三五重点项目。,8000,10000,9000.0,武汉-东西湖区,3-4年经验,本科
会展策划专员,"五险一金,带薪年假,通讯补贴,周末双休,免费早午餐","市场企划经理/主管,其他","1. 协助项目负责人，分析客户的项目需求，与客户沟通能力并维护客户关系；,2. 根据客户需求，配合项目团队共同梳理项目方案的策略点、创意方向；,3. 配合团队完成项目方案的提案、修改、成案工作，确保创意方案的完成；,2. 2年及以上会展、活动行业策划工作经验；,6. 熟练使用日常办公软件，精通PowerPoint者优先。",四川省酒业集团有限责任公司,国企,500-1000人,多元化业务集团公司,川酒集团（全称：四川省酒业集团有限责任公司）是经四川省委、省人民政府同意，于2017年6月组建的大型综合性国有企业，以振兴川酒产业为使命和责任，致力于打造全球首个白酒原产地地域品牌，构建以创新、健康、环保为核心价值的国际化品牌矩阵，塑造“百姓好酒”的中国白酒新标杆。川酒集团基于“川酒甲天下”的先天优势，立足酒类产业全产业链，挖掘价值洼地，进行价值输出，从金融供应链、科技研发、生产管理、品牌推广、渠道建设、销售管理六个方面打造赋能式产业共同体。积极开展白酒产业基地、品牌、科研、金融、贸易等优势资源的全力整合，以做大做强做优川酒为目标，以优质基酒生产为干，成品酒品牌矩阵为支，构建“一干多支”的发展格局。目前，川酒集团已成功建设五大生产基地，覆盖泸州、宜宾、邛崃等川酒优质产区，呈现出强劲发展势头。,8333,9167,8750.0,泸州,3-4年经验,本科
会展策划实习生（可留用）,,"大学/大专应届毕业生,实习生","岗位要求 ,1、协助会展策划完成会展（会议、展览、节事活动、场馆租赁、奖励旅游等）项目的市场调研； ,2、协助会展策划完成会展的立项、主题、招商、招展、预算和运营管理等方案的策划。 ,任职要求 ,1、大专及以上学历2019届应届毕业生； ,2、能熟练运用Office软件； ,3、英语4级及以上，有基本的英语读写和会话能力； ,4、会展经济与管理、旅游管理或理科类专业者优先。",上海泰众会展服务有限公司,民营公司,50-150人,"公关/市场推广/会展,酒店/旅游",上海泰众会展服务有限公司（United Event）是一家提供包括会议及奖励旅游、活动组织、营销策划、展览管理及执行的综合性会展服务公司。我们致力于为企业客户度身定制个性化的会务解决方案、协助活动主办方企业实现商业目标，并和各大媒体及演出公司保持着良好的合作关系。2010年1月，United Event由会展业内的精英团队始创于上海。在我们成长的道路上，不断有各方精英人士慕名加入，目前，我们已经拥有了一支非常专业的运营团队和一支独立且拥有丰富广告业经验的创意团队。在为客户企业提供会展服务时，我们不仅仅提供解决方案，更力求凭借自身的经验、技术与服务来帮助客户企业提升其品牌形象。在这个蓬勃发展的市场中，United Event已成为各大500强企业在市场营销活动策划组织者中的宠儿。在与医药类、金融类、重工类和快消类这些我们长期服务的客户合作过程中，我们已经拥有了超过50次的千人以上大型企业活动策划、管理和执行的经验，并且拥有了良好的口碑和高度的赞誉。伴随着中国市场会展业务的高速发展，United Event始终在积极地进行创新与研发。高新技术领域中的系统开发、信息安全服务将开创性地被我们运用到会展活动中，从而使我们成为首家提供在线交互式活动项目信息技术管理平台的供应商。United Event将凭借自身的优势和在业界的影响，不断巩固自身的实力，朝着成为中国最优秀的活动整合管理专业服务商的目标而前进。公司将提供行业内有竞争力的薪酬、完善的福利制度（缴纳五险一金，并为员工额外购买补充医疗保险，享有带团津贴、带薪休假等）及良好的发展平台，诚邀您的加盟！,2000,3000,2500.0,上海-静安区,NA,NA
