job_name,job_stars,job_category,job_description,company_name,company_type,company_size,company_industry,company_introduction,min_salary,max_salary,mid_salary,place,exp_years,education
展览策划经理,"社保,工作餐","活动策划,影视策划/制作人员","1. 负责公司各项活动的组织策划、选择场地、创意方案及落地执行方案的撰写、流程制定、活动现场分工及执行、活动总结；,2. 负责文创招商的执行、推广、客户洽谈和签约工作，负责客户商务谈判，拓展工作; ,3. 根据活动的规模和特点，及时做好场地、人员及物料的统筹、安排、组织与实施，控制活动成本以及处理各种突发事件；,4. 跟踪分析活动实施效果，提出合理化调整建议，并编制活动报告；,5. 根据公司业务发展需求，收集相关市场活动信息和相关数据；,6. 协调各项资源、跟进项目进度，能够基于数据提出问题和解决方案，并优化产品的研发和运营质量 ；,岗位要求：,1、 年龄：28~38岁，本科及以上学历，会展、新闻学、广告学、中文类等相关专业,英语能力佳者优先；,2、熟悉广告创作流程，逻辑思维清晰，有敏锐的创作嗅觉和精准的创意表现力，洞察力强，具备独立思考和分析能力，对问题有自己独特的见解；语言表达能力强；,3、 3年以上展会会务策划、现场执行及文案工作经验，拥有较强的文字功底，能独立完成项目策划文案的撰写与执行；有整合推广成功案例者优先；有文创项目经验优先。,4、 熟练使用PPT、Photoshop、AI等办公软件；并有实际应用经验两年以上。",成都星演文化传播有限公司,民营公司,150-500人,"影视/媒体/艺术/文化传播,多元化业务集团公司","公司简介：成都星演文化传播有限公司为北京天艺同歌国际文化艺术有限公司全资子公司，公司经营品牌—繁星戏剧村。繁星戏剧村是集戏剧创作、剧场运营、驻场演出、版权交易、展览交易、艺术衍生品设计开发、主题餐饮、文艺书店为一体的跨界文化体验型艺术园区。2017年，繁星戏剧村入驻成都东郊记忆音乐公园，走出繁星戏剧村全国连锁品牌战略的***步。目前，公司旗下的四个剧场一个音乐空间将在年底前盛大开业，给成都一个礼物，欢迎你的加入。公司网址：www.fanxingchina.com百度地图：请搜“成都东郊记忆星live""。",8000.0,10000.0,9000.0,成都-成华区,3-4年经验,本科
展示展览策划,"五险一金,补充商业保险,双休,法定节假日,带薪年休假,5天带薪事假,餐饮补贴,年终奖金,员工旅游,专业培训","文案/策划,编辑","职位描述：,1、负责项目需求调研，参与项目方案研讨，拟定方案主题、展示思路及展示内容，提交展示创意文案；,2、根据方案制作需求，配合设计组人员提交相关展示创意文案；,3、负责撰写多媒体内容策划及编写展项具体脚本及展项手段；,4、积极融入设计项目，提供设计形式效果、展项方案；,5、配合效果图及平面后期人员提交方案所需文案。,任职要求：,1、数字传媒、广告学或文学等相关专业，本科及以上学历；,2、,3、3年以上策划与文案撰写项目经历者优先；,4、熟练使用office、PPT排版，会Photoshop绘图软件尤佳；,                                                ,5、具有积极正面的价值观，强烈的责任心和主动性，勤勉耐压。",武汉数文科技有限公司,民营公司,150-500人,"计算机软件,互联网/电子商务",武汉数文科技有限公司是领先的公共数字文化服务整体解决方案提供商和数据运营商，致力于在有创造力的创意设计和严谨的科学研究基础上，通过创新的数字信息技术推动文化生产、传播和消费领域的发展与变革，助力公共数字文化服务体系建设，探索文化大数据运营和数字文化消费产品创新，传承和弘扬中华优秀传统文化。      集合国内优势学科资源，公司现有各类创意、设计、研发、管理人才200多人，横跨历史、档案、图书情报、计算机、测绘地理信息、环境、建筑与规划、美术、艺术设计、教育、旅游等多个专业领域。公司拥有由十多位历史文博、图书情报、档案、艺术设计、数字媒体、计算机、测绘地理信息等学科领域专家教授构成的首席科学家团队，拥有雄厚的文化科技融合发展团队支撑。      基于规划咨询、数字资源、智慧系统、数字空间、运营传播等五大产品和服务体系，公司为行业用户提供公共文旅云、数字文保、数字考古、智慧博物馆、智慧图书馆、智慧文化馆、智慧档案馆、智慧美术馆、车载流动文化场馆和智慧文化旅游整体解决方案。为实现专业化运营和本地化服务，公司控股设立了武汉好古数字科技有限公司、武汉数文慧图科技有限公司、西安舦渡数字科技有限公司、武汉珞图数字科技有限公司、武汉墨葡数字科技有限公司、武汉数文瑞羚科技有限公司、北京垣冶建筑规划设计有限公司，在北京、西安、广州等地设有分支机构。      公司是国家高新技术企业、湖北省文化产业示范基地，具备软件能力成熟度CMMI5认证和测绘乙级资质，连续三年被认定为“瞪羚企业”，先后主持、参与承担科技部国家科技支撑计划、文化部国家文化创新工程、国家文物局“互联网+中华文明”示范项目及其他省市级重点科研课题十多项，创新成果丰富，与国际国内公共文化、科研、教育、旅游系统建立了密切的协作网络。      公司为员工提供具有行业竞争力的薪酬体系，积极探索建立科学合理的、以激励为导向的组织生态和分配模式。      创意、设计、互联，释放中华文明之美！我们渴望用自己的双手和智慧创造价值，热忱欢迎志同道合的你加入我们的团队！,7000.0,13000.0,10000.0,武汉,5-7年经验,本科
科技馆展览策划,"五险,员工旅游,交通补贴,餐饮补贴,年终奖金,绩效奖金,周末双休,每年调薪",展览/展示/店面设计,"1、科技馆展览项目的主题策划，数字多媒体展项内容策划和创意；,2、参与项目方案的研讨，拟定方案主题、展示思路及方案所展示的内容；,3、负责细化核心展示产品方案规划；,4、负责产品的原理，展示内容和展示目的的描述；,5、负责产品的主要功能，设计思路和观众操作方式的描述；,6、负责和客户对接展览方案，为项目设计产品或展示方式；,7、了解市场行情，收集调研国内外、行业内外相关产品信息，不断创新、改进；,1、理工科相关专业或文史类专业，大学本科及以上学历；,2、一年以上相关工作经验；,3、熟悉产品策划的工作标准和流程，熟悉科普行业的常见展品和展示技术，了解产品的制作过程和工艺，熟练使用办公软件和写作技能；,4、具备较强的分析判断能力、沟通能力、文字表达能力。,5、善于学习，责任心强，具有团队合作精神和良好的沟通能力，工作细致，能承受较强的工作压力。,6、可接受短期出差；",百达文化科技有限公司,民营公司,150-500人,"影视/媒体/艺术/文化传播,家居/室内设计/装潢",欣百达装饰工程有限公司成立于2005 年，注册资金5050 万元，总部位于北京，合肥建有基地，浙江、云南、陕西、山东等地有分公司。公司主营展陈设计与施工，业务领域涵盖博物馆、地质馆、纪念馆、科技馆及各类展厅项目，拥有管理团队60余人，设计团队60余人，工程管理40余人，施工团队300余人。围绕展陈行业的相关服务，从展陈大纲编撰、沙盘模型、雕塑绘画、多媒体系统集成、动画制作、互动程序编写、文创产品开发、文物修复与复制到项目施工，积累了精湛的专业技术和丰富的管理经验，为客户提供全程优质的服务。      公司具有建筑装饰装修工程设计与施工壹级、博物馆陈列展览设计、施工单位壹级、展览馆协会展览设计、施工一级、建筑幕墙工程设计施工贰级、房屋建筑工程施工总承包叁级、钢结构叁级资质。通过了“ISO9001 质量管理体系”、“ISO14001 环境管理体系”及“OHSAS18001 职业健康安全管理体系”三位一体认证。公司先后承建了中国港口博物馆、中国地质博物馆百年馆庆回顾展、云南省博物馆、四川攀枝花三线建设博物馆、曲靖市博物馆、通化自然馆等一批博物馆项目，中国有色集团展厅、北仑城市展示馆、山东淄博新材料展厅等一批展厅项目，月星家居建材卖场公共区域装饰工程、黄山旅游广场三期天都大厦等一批公装项目。近年来多次获得建筑工程装饰奖、AAA 级建筑业质量安全信誉优秀施工单位、全国工程建设典范企业等奖项。,5000.0,10000.0,7500.0,合肥-庐阳区,3-4年经验,本科
展览策划（文案）,"五险一金,绩效奖金,年终奖金",文案/策划,"（岗位职责）,希望你具有,                ",上海幻维数码创意科技有限公司,国企,500-1000人,影视/媒体/艺术/文化传播,"上海幻维数码创意科技有限公司,是上海广播电视台（SMG）旗下成员单位。自从2000年成立以来，幻维数码始终秉承创意、品质、服务、发展为一体的经营理念，不断致力于创意、艺术与数字科技的融合与创新，累积了十年以上三维动画、视觉特效、媒体品牌创意与制作经验。    幻维数码在中国拥有四个大型创意创作基地，上海幻维数码创意科技有限公司下属的南京西路、广中西路、威海路三大基地及云南云视幻维数码影视有限公司，总建筑面积超过10,000平方米，投资超过亿元。公司业务领域涵盖原创动画设计开发、动画制作服务外包、媒体品牌包装及推广、影视广告后期服务及企业形象推广、影视动画教育培训、演播室节目录制、高清胶转磁校色、影视编辑与特效合成、三维虚拟浏览、多媒体设计制作等…    幻维数码拥有国际先进的视觉特效创作工具，更拥有一支充满激情的创作团队。500多人组成的幻维团队正在努力实现“创造品牌、成就未来”的公司愿景。十年来的努力，不仅让幻维数码在视觉效果的创造上积累了丰富的经验，同时让公司肩负了更多的社会责任。作为上海多媒体行业协会副会长单位、上海市电影电视技术学会副理事长单位、中国动画学会会员、上海市高新技术企业、上海市技术先进型服务企业，幻维数码对中国创意产业的推动不遗余力。    今天的幻维数码还在技术的领域内不断探索，在创意的世界里不断驰骋。“新科技、新思维、新管理”，幻维数码正如同展翅的雄鹰翱翔在视觉艺术的天空。    幻维数码   创意点亮未来",8000.0,10000.0,9000.0,上海,2年经验,本科
高级展厅展览策划,"五险一金,员工旅游,专业培训,弹性工作,年终奖金,绩效奖金",文案/策划,"岗位职责：,1、深入理解客户需求及项目定位，与客户进行方案讨论；,2、组织项目创意方案讨论，挖掘、提炼创意主题；,3、进行方案构思及提案编制；,3、制定布展大纲，构思展项形式；,4、根据展览展项设计需求，进行视频、互动多媒体等脚本撰写；,5、指导文案工作，把控策划方案质量；,6、根据项目需求进行其他创意策划类工作。, ,任职资格:,1、中文、广告、编剧相关专业大专及以上学历; ,2、有 2 年以上展览展示行业工作经验；,4、文字功底深厚、擅长创意，拥有独特的思维方式；,5、有良好的沟通表达能力和抗压能力；,6、熟悉多媒体展示形式，有一定的审美能力；, 7、有政府类展览展示项目工作经验。",深圳微盐传媒科技有限公司,民营公司,150-500人,"广告,互联网/电子商务",公司简介：微盐，2012年成立以来专注于移动互联网+政务服务创新，通过行业领先的“创意+文化+科技”一站式互联网+政务服务解决方案，助力政府部门、事业单位实现政务业务品质提升、服务创新，让政务服务体验比人们生活消费更好、更便捷高效、有品质。我们的客户：目前已经累积服务各级党政部门、人大、政协、事业单位等400+，承接各类政务项目3000+。我们的服务分为六大服务：政务新媒体平台代运营 、业务节点服务 、品牌项目服务 、微盐云商城、互联网+政务主题数字体验空间、媒介推广服务 。每项服务在行业内都有标杆性项目。邀请你加入我们的优势：1.主要客户是政府，相对比较稳定，有投入肯定就有回报；2.我们偏平化的内部管理特别适合有想法、敢干的年轻人；3.我们前有能征服客户的项目团队，身后有能消化项目的文案、设计、内容团队，还有体贴周到的后勤团队，帮你记得住在微盐每个特殊的日子，为你送上祝福和礼物；4.成长型的薪资会鼓励你不断向前，在这里不管是你接触到的人，还是你经手的项目都将成为你不可或缺的能量，来吧，一起创造“微盐政能量”。 联系我们：电话：0755-29346636邮箱：hr@iwesalt.com公司地址：南山区打石1路深圳国际创新谷1栋B座12层（招商银行那栋）想了解更多请关注我们的官微“微盐政能量”,8000.0,10000.0,9000.0,深圳-南山区,3-4年经验,大专
展览策划师,"五险一金,带薪年假,加班补贴,高温补贴","展览/展示/店面设计,市场企划经理/主管","1、独立负责策划设计与管理工作；,2、负责展览展示设计，控制材料、灯光、色彩的组合运用及整体效果的搭配；,3、正确领略公司总体规划理念和客户意图并准确完整的表达呈现设计思想；,4、及时掌握客户需求，了解市场动态，配合各部门制定新产品研发。,1、精通展览展示设计，熟悉各类业展会展示风格；,2、熟悉会议背景板设计、会场布置，展览设计；,3、两年以上室内设计相关或会展设计相关工作经验，有较强的审美能力、美术表达能力和色彩感；,4、拥有成功设计案例，熟悉展览工程、工艺结构，有独立风格的三维创意；,5、头脑清晰，敏捷，具有分析客户心理的能力，有责任心及良好的团队协作意识。",广州利才物业有限公司,民营公司,50-150人,物业管理/商业中心,广州利才物业有限公司    成立于1996年，是广州市***批由市建设委员会和市工商行政管理局核定的物业管理公司之一，从事专业的物业管理工作。经营范围有：楼宇综合经营管理、房屋租赁、出售、室内装修、水电安装、房地产中介服务等。    现主要管理物业广州交易广场，位于东风中路268号，地铁二号线纪念堂站，是广州市一级一类商业大厦。2003年，又通过了ISO9001质量管理体系认证。有意者请通过系统直接发送简历，或将资料E-MAIL至zhaopinmail@163.com，亦可将相关资料邮寄至本公司。请在邮件标题或信封左下角注明应聘职位。,4500.0,6000.0,5250.0,广州,3-4年经验,大专
会展/会议展览策划,,"会务/会展经理,活动策划","职责描述：,1、负责完成会展（会议；展览；旅游论坛等）项目的市场调研和执行；,2、负责完成会展的预算和运营管理等方案的策划；,3、撰写会展媒体宣传相关文案；,4、负责组织安排收集相关展会信息；,5、参与公司各类展会和艺术活动的创意构思，策划等工作；,6、协助完成公司各类展览的和艺术活动的组织实施，及时处理反馈信息；,7、负责公司内部沟通，确保项目的顺利进行；,任职要求：,1、具备良好的写作能力、沟通、协调和提案能力；,2、思维敏捷，逻辑性与理解力强，团队协作力强、有责任心和担当；,3、具有较强的项目执行与协调能力，具有良好的团队合作精神，能承受一定的工作压力；,4、有其他语言精通者优先考虑；,5、市场营销策划等相关工作经验者优先",重庆新美展会议服务有限公司,民营公司,少于50人,公关/市场推广/会展,专业提供会议整体策划、场地预定、场地搭建、印刷、礼品、会议接待、同声传译、视频会议等一系列会议服务。经过十年的历练。公司中高层管理人员凭借多年的会展服务经验，结合市场经济，依托公司广阔的平台，有效整合资源，秉承“以服务为导向，以品质为生命”的宗旨和“立足重庆、开拓进取”的发展战略，打造个性化品牌道路，全方位的提供专业、周到、及时优质的会议服务。公司成立至今，我们始终秉承以“专注才能专业，专业创造财富”为经营理念，成功地为各大企事业单位提供了整体会议策划执行，（如重庆医科大学附属***医院，西南医院，新桥医院，大坪医院， 肿瘤医院等等）。公司服务意识之强、专业技术之高、创意之独特， 受到各界人士的信赖和赞誉。公司本着全力为客户创造价值的经营宗旨，以专业的技术与管理团队、创新的策划与服务理念，寻求着您与美展国际合作与发展的契机。我们注重资源的整合，以超前的理念为策划蓝本，用专业赢得市场，用信誉打造品牌。,6000.0,8000.0,7000.0,重庆-江北区,3-4年经验,大专
展览策划师,"五险一金,员工旅游,弹性工作,出国机会,年终奖金,包吃","展览/展示/店面设计,文案/策划","岗位职责：,1、项目开展之前的导向性工作，为设计师提供项目背景分析、完整的展陈内容策划；,2、参与设计解析，创作拟定故事线；,3、负责创意脚本、影片解说词等撰写工作；,4、负责对国外合作单位的内容策划设计对接沟通工作；,5、参与项目实施中的校稿工作； ,6、有科技馆、博物馆、主题场馆、多媒体互动展馆展厅等展示项目经验者优先；,岗位要求：,1、熟悉Word、excel、powerpoint、indesign软件；,2、具有深厚的文学素养和文字功底，想象力丰富；,3、有科技馆、博物馆、主题场馆、多媒体互动展馆展厅等展示项目经验者优先；,4、英文口译或者笔译达6级者优先。,公司福利：,1、公司待遇：基本工资+年底奖金+提供中餐；,2、公司不定期组织集体活动，如聚餐、ktv、拓展、旅游等；,3、公司发放端午、中秋节假日的过节费；,5、公司每年根据上一年度的经营情况及员工工作表现来决定给员工发放年终奖；,6、公司重视员工个人发展，培训机制完善，不定期为员工组织相关培训；,7、公司对表现优秀的员工有安排出国考察机会。",深圳市艺博堂环境艺术工程设计有限公司,民营公司,50-150人,"公关/市场推广/会展,影视/媒体/艺术/文化传播",深圳市艺博堂环境艺术工程设计公司是一家专业从事环境艺术设计的公司，承接多个形象工程，在商业展览及各类展厅的设计与承建上有许多成功的案例，其中包括：海南省建省20周年成就展厅、苏州15周年成就展、苏州工业园区规划建设展览厅、中英街博物馆、天狮博物馆、山东桓台规划展厅、历届文博会、高交会展览。    公司主要优势在于前期对展厅及展览整体规划及整体展示内容的策划；中期对展厅展示整体形象的设计；后期对整体展示工程的承建及施工。现我司为深圳市会议展览协会的甲级设计、一级施工单位，常务理事单位，公司拥有国内一流的专业设计团队及施工队伍，并且一直关注国际最新展览展示动态。不断追求展览整体理念创新。无论是短期展览或是规划展厅以及博物馆设计均可为客户量身制作最优的解决及表现方案。,6000.0,13000.0,9500.0,深圳-罗湖区,3-4年经验,大专
美术馆展览策划实习生,"专业培训,活动","活动策划,展览/展示/店面设计","本科及以上在校生（大二、大三、研一、研二），艺术/设计类专业优先，要有英语翻译基础，会画画或手绘、墙绘、有过美术展览活动经验等优先考虑，会使用设计类软件等。主要负责构思设计、策划、园区装饰美陈(墙绘设计等)、公共教育活动策划及协助活动执行等工作。,直接与国内外驻留艺术家接触、与各城市画院联系的机会，参与美术馆核心项目的经验。",深圳市碧桂园房地产投资有限公司,上市公司,10000人以上,"房地产,物业管理/商业中心",中国***、全国房地产十强——碧桂园，碧桂园成立于1992年，2007年在香港联交所主板挂牌上市，是国内著名的以房地产为主营业务，涵盖规划设计、酒店开发管理、建筑装修、物业管理、国际教育等多个领域的综合...,2000.0,3000.0,2500.0,东莞-东城区,在校生/应届生,本科
展览策划,"五险一金,免费班车,员工旅游,交通补贴,餐饮补贴,出国机会,专业培训,年终奖金,股票期权,绩效奖金",文案/策划,"职位描述：,1.协助项目经理完成与客户的需求沟通、并完成对项目的创意策划，配合项目经理与设计师把控项目设计的风格。,2.协助项目经理或上级完成项目，展览展示策划的初稿方案、相关流程、部分文案的撰写； 负责设计说明或演变说明的文案撰写； 负责对某些行业会议的调研资料的撰写,3.与相关部门协作配合，督促、协调、配合项目进行前期的跟进；安排设计创意培训课程 。",德马吉国际展览有限公司,上市公司,150-500人,公关/市场推广/会展,"Company ProfileDEMAGE INTERNATIONAL Conference & Exhibition Service Co., Ltd. is a professional exhibition company dedicated to the design, production and construction of global exhibitions. Headquartered in Germany with a group of highly qualified staff and professional department, it has set up branches in 32 countries and 118 regions such as China, the United States, the United Kingdom, France, India, Brazil, South Africa, Dubai, Russia, Spain and so on. In addition, DEMAGE joined in the Bureau of International Expositions in 2001 to share global resources for exhibition construction and has established a close partnership with other members to achieve global one-stop services.In China, DEMAGE has established a win-win partnership with Donghua University to build the DEMAGE - Donghua University Design Research Center for joint development of the exhibition booth EI System (Exhibition Identity). Since its establishment, DEMAGE has taken the lead to launch the exhibition booth EI System (Exhibition Identity) in the exhibition industry by virtue of professional skills, extensive experience, keen marketing sense and deep understanding on customer needs, and provided professional services for a number of the world's top 500 customers.With its cutting-edge concepts and professional dedication spirit, DEMAGE has taken a leading position in the world’s most competitive exhibition companies and become the constructor designated by hundreds of organizers in the world. Through many years of unremitting efforts, it has been highly recognized by the industry and customers.DEMAGE has set up exhibition research centers in six continents around the world to conduct professional exhibition training for staffs so that they can be proficient in international exhibition workflow and to assist the development of human and information resource advantages. With international project personnel, planners, designers, skilled workers and complete international professional production factory, strict professional exhibition management system as well as coverage points in 118 cities of 32 countries around the world, DEMAGE can not only provide customers with professional services of “specially-assigned person, special project and global one-stop” but also ensure the customers can obtain the most reliable quality assurance by a most reasonable price.DEMAGE hopes to make progress and create brilliant achievements together with you. With your support, we will continue to progress and contribute professional experience with our best effort to the development of global exhibition industry.德马吉国际展览有限公司是一家致力于全球高端企业的展台设计与搭建的专业性展览公司，如中国移动、海信、TCL，BMW 等；近三年公司发展迅速，以平均100%的业绩进行增长，2012年德马吉与东华大学强强联合，建立了德马吉-东华大学设计研究中心，共同开发展台EI系统(Exhibition Identity)。德马吉愿与您携手共进、再创辉煌，在您的支持下我们将不断进步，为全球展览事业的发展竭力贡献专业经验！德马吉文化介绍德马吉“家文化”：德马吉的每个员工都是我们的家人，在这里享受家的温暖，家的关心，每逢佳节亦为每位家人的父母准备丰厚礼品，略表孝心；每位为德马吉奉献的家人父母都将获得由德马吉家族提供的养老金。快乐文化：加入德马吉您即加入了快乐大家族，公司每月为员工举行集体庆生会，电影日，电影分享，年会主持选拔，节目选拔，台球秀等丰富多彩的业余活动。学习文化：学习是进步的阶梯，坚持不断的学习是德马吉家人的必修课，德马吉的境外实践学习是学习文化中不可或缺的亮点，转正后的成员都有机会远赴欧洲（以德国为主）美洲（以美国为主）进行境外实践学习！ 在德马吉您也可以不定期的参加外聘大师的精彩讲座，也可以从前辈那学习到丰富的实操经验，亦可以分享你的收获，让大家一起见证你的成长，每年优秀员工更是派往欧洲各国实地看展，接收国际展台资讯。一经录用,公司将为您提供广阔的发展平台和行业内有竞争力的薪酬待遇。请关注德马吉官方微信号：Demagemesse联系人： 黄小姐简历接收:124@demage.com公司网址：http://www.demage.com",10000.0,15000.0,12500.0,上海,2年经验,大专
