name, lat, lng, province, city, area, address, tag
'中国农业银行(顺德碧江支行)', 22.952884, 113.266303, '广东省', '佛山市', '顺德区', '佛山市顺德区北滘镇碧江大道6号', '金融;银行'
'招商银行(碧桂支行)', 22.950208, 113.28237, '广东省', '佛山市', '顺德区', '佛山市顺德区北滘镇碧桂园南九路1号', '金融;银行'
'中国银行(顺德泰宁支行)', 22.948439, 113.268167, '广东省', '佛山市', '顺德区', '佛山市顺德区北滘镇碧江大道54号', '金融;银行'
'中国建设银行(顺德碧桂园支行)', 22.954934, 113.281233, '广东省', '佛山市', '顺德区', '北窖镇碧江村碧桂园正苑国际会所旁', '金融;银行'
'中国工商银行(佛山顺德碧桂支行)', 22.960469, 113.279828, '广东省', '佛山市', '顺德区', '广东省佛山市顺德区北滘镇碧碧桂园写字楼东楼16~17A号', '金融;银行'
'中国农业银行(顺德丹桂支行)', 22.952952, 113.282994, '广东省', '佛山市', '顺德区', '碧桂园南一路3号', '金融;银行'
'中国邮政储蓄银行(碧江支行)', 22.952542, 113.266817, '广东省', '佛山市', '顺德区', '广东省佛山市顺德区碧江大道17号', '金融;银行'
'顺德农村商业银行(北滘碧江支行)', 22.94803, 113.268981, '广东省', '佛山市', '顺德区', '广东省佛山市顺德区泰宁西路4号', '金融;信用社'
'顺德农商银行', 22.955163, 113.279798, '广东省', '佛山市', '顺德区', '北滘镇碧桂园正苑西一街一号', '金融;银行'
'中国农业银行24小时自助银行(顺德桂园支行)', 22.94822, 113.267845, '广东省', '佛山市', '顺德区', '广东省佛山市顺德区泰宁路64', '金融;atm'
'中国银行ATM', 22.946311, 113.265398, '广东省', '佛山市', '顺德区', '佛山市顺德区北滘镇碧江泰宁西路51号万象时尚广场F1', '金融;atm'
'中国农业银行(顺德碧桂支行)', 22.96014, 113.278811, '广东省', '佛山市', '顺德区', '顺德区碧桂园办公楼5-9号', '金融;银行'
'中国建设银行ATM', 22.941713, 113.26851, '广东省', '佛山市', '顺德区', '广东省佛山市顺德区坤洲中路88号附近', '金融;atm'
'顺德农商银行(西海分理处)', 22.921096, 113.265144, '广东省', '佛山市', '顺德区', '西海大道1号', '金融;信用社'
'中国邮政储蓄银行24小时自助银行(碧江支行)', 22.952544, 113.266778, '广东省', '佛山市', '顺德区', '广东省佛山市顺德区碧江大道12', '金融;atm'
'中国银行24小时自助银行(北窖镇)', 22.948439, 113.268167, '广东省', '佛山市', '顺德区', '佛山市顺德区北窖镇碧江大道54号', '金融;atm'
'中国建设银行24小时自助银行', 22.927868, 113.27478, '广东省', '佛山市', '顺德区', '广东省佛山市顺德区S43(广珠西线高速)', '金融;atm'
'中国建设银行24小时自助银行', 22.954808, 113.265568, '广东省', '佛山市', '顺德区', '广东省佛山市顺德区珠江大道2号附近', '金融;atm'
'中国农业银行24小时自助银行(官三线)', 22.954509, 113.287895, '广东省', '佛山市', '顺德区', '佛山市顺德区誉晖花园23号铺', '金融;atm'
'顺德农商银行ATM(东胜支行)', 22.943086, 113.278328, '广东省', '佛山市', '顺德区', '佛山市顺德区北滘镇碧桂园碧桂西苑翠茵居十一街2-6号', '金融;atm'
'中国农业银行24小时自助银行(顺德碧江支行)', 22.952854, 113.2663, '广东省', '佛山市', '顺德区', '广东省佛山市顺德区碧江大道6', '金融;atm'
'中国农业银行24小时自助银行(佛山顺德桃西支行)', 22.923915, 113.264512, '广东省', '佛山市', '顺德区', '佛山市顺德区烈士中路78号', '金融;atm'
'中国农业银行ATM(顺德碧桂支行)', 22.960033, 113.279065, '广东省', '佛山市', '顺德区', '广东省佛山市顺德区韦涌人民路碧桂园东区碧桂园集团旁', '金融;atm'
'顺德农商银行24小时自助银行(三桂大道店)', 22.95431, 113.290188, '广东省', '佛山市', '顺德区', '三桂大道2号', '金融;atm'
'顺德区农村商业银行ATM(碧桂园)', 22.930223, 113.27531, '广东省', '佛山市', '顺德区', '广东省佛山市顺德区碧桂园总部大楼', '金融;atm'
'中国农业银行24小时自助银行(西海自助银行)', 22.92036, 113.262879, '广东省', '佛山市', '顺德区', '佛山市顺德区西海大道与小学东路交叉路口往东约50米(西海小学东侧约100米)', '金融;atm'
'顺德农村商业银行24小时自助银行', 22.921073, 113.265101, '广东省', '佛山市', '顺德区', '佛山市顺德区西海大道1号', '金融;atm'
'顺德碧桂园度假村-自动取款机', 22.942853, 113.286426, '广东省', '佛山市', '顺德区', '北滘镇碧桂园内', '金融;atm'
'顺德农商银行(北滘桃村分理处)', 22.925529, 113.264341, '广东省', '佛山市', '顺德区', '佛山市顺德区北滘镇桃村村委会桃源大道2号', '金融;信用社'
'中国工商银行24小时自助银行(顺德碧桂支行)', 22.960434, 113.279794, '广东省', '佛山市', '顺德区', '北滘镇三桂村委会碧桂园碧桂豪园度假村', '金融;atm'
'顺德农商银行(北滘承德支行)', 22.951156, 113.266871, '广东省', '佛山市', '顺德区', '佛山市顺德区承德路28号', '金融;信用社'
'中国工商银行24小时自助银行', 22.906164, 113.27257, '广东省', '佛山市', '顺德区', '佛山市顺德区北滘镇西海二支工业区南二路', '金融;atm'
'中国建设银行(东怡支行)', 22.941639, 113.399303, '广东省', '广州市', '番禺区', '广东省广州市番禺区石基镇清河东路石岗西村段24号', '金融;银行'
'中国建设银行(番禺支行营业部)', 22.947634, 113.37026, '广东省', '广州市', '番禺区', '市桥镇繁华路41号', '金融;银行'
'中国工商银行(广州番禺平康支行)', 22.944435, 113.378724, '广东省', '广州市', '番禺区', '广州市番禺区市桥镇平康路51号', '金融;银行'
'招商银行(番禺支行)', 22.946284, 113.371911, '广东省', '广州市', '番禺区', '广东省广州市番禺区禺山大道10号', '金融;银行'
'广州银行(番禺支行)', 22.946328, 113.368262, '广东省', '广州市', '番禺区', '广东省广州市番禺区禺山大道68号', '金融;银行'
'中国银行(番禺广场支行)', 22.941065, 113.392077, '广东省', '广州市', '番禺区', '广东省广州市番禺市桥镇清河东路338号', '金融;银行'
'华夏银行(广州番禺支行)', 22.95212, 113.380454, '广东省', '广州市', '番禺区', '广东省广州市番禺区富华东路183号', '金融;银行'
'中国农业银行(广州番禺清河支行)', 22.937171, 113.389101, '广东省', '广州市', '番禺区', '广州市番禺区盛兴大街31号', '金融;银行'
'中国建设银行(广州番禺富华支行)', 22.953041, 113.37628, '广东省', '广州市', '番禺区', '广州市番禺区富华东路49、51号', '金融;银行'
